max_depth,step,accuracy
1,1,0.9009009009009009
1,2,0.9009009009009009
1,3,0.9009009009009009
1,5,0.9009009009009009
1,8,0.9009009009009009
1,13,0.9009009009009009
1,21,0.9009009009009009
1,34,0.9009009009009009
1,55,0.9009009009009009
2,1,0.9009009009009009
2,2,0.9009009009009009
2,3,0.9009009009009009
2,5,0.9009009009009009
2,8,0.9009009009009009
2,13,0.9009009009009009
2,21,0.9009009009009009
2,34,0.9009009009009009
2,55,0.9054054054054054
3,1,0.9099099099099099
3,2,0.9099099099099099
3,3,0.9099099099099099
3,5,0.9054054054054054
3,8,0.9279279279279279
3,13,0.9279279279279279
3,21,0.9234234234234234
3,34,0.9279279279279279
3,55,0.9369369369369369
