,accuracy,max_depth,criterion,splitter
10,0.9967441860465116,3,entropy,best
14,0.9958139534883721,4,entropy,best
8,0.9953488372093023,3,gini,best
18,0.9944186046511628,5,entropy,best
12,0.9893023255813953,4,gini,best
22,0.9888372093023255,6,entropy,best
16,0.9869767441860465,5,gini,best
20,0.9827906976744186,6,gini,best
24,0.9804651162790697,7,gini,best
26,0.9772093023255813,7,entropy,best
28,0.9739534883720931,8,gini,best
32,0.9702325581395349,9,gini,best
36,0.9697674418604652,10,gini,best
44,0.9697674418604652,12,gini,best
40,0.9655813953488372,11,gini,best
102,0.9609302325581396,26,entropy,best
46,0.958139534883721,12,entropy,best
130,0.9576744186046512,33,entropy,best
210,0.9572093023255814,53,entropy,best
74,0.9572093023255814,19,entropy,best
198,0.9572093023255814,50,entropy,best
390,0.9562790697674418,98,entropy,best
266,0.9558139534883721,67,entropy,best
178,0.9558139534883721,45,entropy,best
250,0.9558139534883721,63,entropy,best
60,0.9553488372093023,16,gini,best
52,0.9544186046511628,14,gini,best
350,0.9544186046511628,88,entropy,best
66,0.953953488372093,17,entropy,best
48,0.953953488372093,13,gini,best
202,0.9534883720930233,51,entropy,best
170,0.9534883720930233,43,entropy,best
38,0.9534883720930233,10,entropy,best
382,0.9530232558139535,96,entropy,best
306,0.9530232558139535,77,entropy,best
358,0.9530232558139535,90,entropy,best
218,0.9525581395348838,55,entropy,best
246,0.9525581395348838,62,entropy,best
338,0.9525581395348838,85,entropy,best
94,0.9520930232558139,24,entropy,best
394,0.9520930232558139,99,entropy,best
290,0.9516279069767442,73,entropy,best
138,0.9516279069767442,35,entropy,best
90,0.9511627906976744,23,entropy,best
230,0.9511627906976744,58,entropy,best
158,0.9511627906976744,40,entropy,best
150,0.9511627906976744,38,entropy,best
322,0.9506976744186046,81,entropy,best
106,0.9506976744186046,27,entropy,best
318,0.9506976744186046,80,entropy,best
194,0.9506976744186046,49,entropy,best
386,0.9506976744186046,97,entropy,best
258,0.9506976744186046,65,entropy,best
206,0.9502325581395349,52,entropy,best
334,0.9502325581395349,84,entropy,best
70,0.9502325581395349,18,entropy,best
226,0.9502325581395349,57,entropy,best
278,0.9502325581395349,70,entropy,best
30,0.9502325581395349,8,entropy,best
78,0.9502325581395349,20,entropy,best
118,0.9502325581395349,30,entropy,best
294,0.9502325581395349,74,entropy,best
50,0.9502325581395349,13,entropy,best
298,0.9502325581395349,75,entropy,best
110,0.9497674418604651,28,entropy,best
326,0.9497674418604651,82,entropy,best
114,0.9497674418604651,29,entropy,best
362,0.9497674418604651,91,entropy,best
56,0.9497674418604651,15,gini,best
142,0.9497674418604651,36,entropy,best
366,0.9497674418604651,92,entropy,best
354,0.9497674418604651,89,entropy,best
342,0.9497674418604651,86,entropy,best
172,0.9493023255813954,44,gini,best
86,0.9493023255813954,22,entropy,best
262,0.9493023255813954,66,entropy,best
370,0.9488372093023256,93,entropy,best
222,0.9488372093023256,56,entropy,best
302,0.9488372093023256,76,entropy,best
64,0.9488372093023256,17,gini,best
34,0.9488372093023256,9,entropy,best
310,0.9488372093023256,78,entropy,best
54,0.9483720930232559,14,entropy,best
186,0.9483720930232559,47,entropy,best
190,0.9483720930232559,48,entropy,best
