,accuracy,max_depth,criterion,splitter
18,0.8549019607843137,5,entropy,best
158,0.8372549019607843,40,entropy,best
22,0.8352941176470589,6,entropy,best
38,0.8294117647058824,10,entropy,best
270,0.8274509803921568,68,entropy,best
318,0.8215686274509804,80,entropy,best
194,0.8215686274509804,49,entropy,best
218,0.8215686274509804,55,entropy,best
250,0.8215686274509804,63,entropy,best
122,0.8196078431372549,31,entropy,best
190,0.8196078431372549,48,entropy,best
138,0.8196078431372549,35,entropy,best
358,0.8196078431372549,90,entropy,best
330,0.8176470588235294,83,entropy,best
106,0.8176470588235294,27,entropy,best
350,0.8176470588235294,88,entropy,best
146,0.8156862745098039,37,entropy,best
198,0.8156862745098039,50,entropy,best
210,0.8156862745098039,53,entropy,best
206,0.8156862745098039,52,entropy,best
386,0.8156862745098039,97,entropy,best
242,0.8156862745098039,61,entropy,best
154,0.8156862745098039,39,entropy,best
170,0.8156862745098039,43,entropy,best
130,0.8156862745098039,33,entropy,best
334,0.8137254901960784,84,entropy,best
82,0.8137254901960784,21,entropy,best
306,0.8137254901960784,77,entropy,best
282,0.8137254901960784,71,entropy,best
374,0.8137254901960784,94,entropy,best
294,0.8137254901960784,74,entropy,best
102,0.8137254901960784,26,entropy,best
366,0.8137254901960784,92,entropy,best
254,0.8137254901960784,64,entropy,best
12,0.8137254901960784,4,gini,best
230,0.8117647058823529,58,entropy,best
342,0.8117647058823529,86,entropy,best
286,0.8117647058823529,72,entropy,best
278,0.8117647058823529,70,entropy,best
302,0.8098039215686275,76,entropy,best
290,0.8098039215686275,73,entropy,best
50,0.8098039215686275,13,entropy,best
86,0.8098039215686275,22,entropy,best
46,0.8098039215686275,12,entropy,best
214,0.8098039215686275,54,entropy,best
66,0.8098039215686275,17,entropy,best
34,0.8098039215686275,9,entropy,best
74,0.807843137254902,19,entropy,best
162,0.807843137254902,41,entropy,best
322,0.807843137254902,81,entropy,best
70,0.807843137254902,18,entropy,best
110,0.807843137254902,28,entropy,best
90,0.807843137254902,23,entropy,best
182,0.807843137254902,46,entropy,best
346,0.8058823529411765,87,entropy,best
298,0.8058823529411765,75,entropy,best
326,0.8058823529411765,82,entropy,best
14,0.8058823529411765,4,entropy,best
178,0.803921568627451,45,entropy,best
310,0.803921568627451,78,entropy,best
370,0.803921568627451,93,entropy,best
166,0.803921568627451,42,entropy,best
186,0.803921568627451,47,entropy,best
62,0.803921568627451,16,entropy,best
394,0.8019607843137255,99,entropy,best
226,0.8019607843137255,57,entropy,best
78,0.8019607843137255,20,entropy,best
222,0.8019607843137255,56,entropy,best
126,0.8,32,entropy,best
58,0.8,15,entropy,best
390,0.8,98,entropy,best
94,0.8,24,entropy,best
42,0.8,11,entropy,best
314,0.8,79,entropy,best
258,0.7980392156862746,65,entropy,best
142,0.7980392156862746,36,entropy,best
338,0.7980392156862746,85,entropy,best
118,0.7980392156862746,30,entropy,best
398,0.7980392156862746,100,entropy,best
382,0.7980392156862746,96,entropy,best
362,0.796078431372549,91,entropy,best
234,0.796078431372549,59,entropy,best
54,0.796078431372549,14,entropy,best
266,0.796078431372549,67,entropy,best
114,0.796078431372549,29,entropy,best
208,0.7941176470588235,53,gini,best
246,0.7941176470588235,62,entropy,best
150,0.7941176470588235,38,entropy,best
354,0.7941176470588235,89,entropy,best
262,0.7941176470588235,66,entropy,best
30,0.7941176470588235,8,entropy,best
238,0.792156862745098,60,entropy,best
378,0.792156862745098,95,entropy,best
16,0.792156862745098,5,gini,best
202,0.7901960784313725,51,entropy,best
340,0.7901960784313725,86,gini,best
140,0.788235294117647,36,gini,best
284,0.7862745098039216,72,gini,best
274,0.7862745098039216,69,entropy,best
188,0.7862745098039216,48,gini,best
26,0.7862745098039216,7,entropy,best
196,0.7862745098039216,50,gini,best
84,0.7862745098039216,22,gini,best
264,0.7862745098039216,67,gini,best
88,0.7843137254901961,23,gini,best
212,0.7843137254901961,54,gini,best
98,0.7823529411764706,25,entropy,best
56,0.7823529411764706,15,gini,best
236,0.7823529411764706,60,gini,best
224,0.7823529411764706,57,gini,best
396,0.7803921568627451,100,gini,best
268,0.7803921568627451,68,gini,best
360,0.7803921568627451,91,gini,best
280,0.7803921568627451,71,gini,best
168,0.7803921568627451,43,gini,best
364,0.7784313725490196,92,gini,best
160,0.7784313725490196,41,gini,best
32,0.7784313725490196,9,gini,best
76,0.7784313725490196,20,gini,best
112,0.7784313725490196,29,gini,best
252,0.7784313725490196,64,gini,best
20,0.7784313725490196,6,gini,best
180,0.7784313725490196,46,gini,best
260,0.7784313725490196,66,gini,best
120,0.7764705882352941,31,gini,best
164,0.7764705882352941,42,gini,best
288,0.7764705882352941,73,gini,best
244,0.7764705882352941,62,gini,best
174,0.7764705882352941,44,entropy,best
152,0.7764705882352941,39,gini,best
192,0.7764705882352941,49,gini,best
372,0.7764705882352941,94,gini,best
134,0.7745098039215687,34,entropy,best
200,0.7745098039215687,51,gini,best
368,0.7745098039215687,93,gini,best
184,0.7745098039215687,47,gini,best
72,0.7745098039215687,19,gini,best
144,0.7745098039215687,37,gini,best
220,0.7745098039215687,56,gini,best
232,0.7745098039215687,59,gini,best
248,0.7745098039215687,63,gini,best
204,0.7745098039215687,52,gini,best
176,0.7725490196078432,45,gini,best
136,0.7725490196078432,35,gini,best
312,0.7725490196078432,79,gini,best
128,0.7725490196078432,33,gini,best
300,0.7725490196078432,76,gini,best
64,0.7725490196078432,17,gini,best
40,0.7725490196078432,11,gini,best
60,0.7725490196078432,16,gini,best
316,0.7725490196078432,80,gini,best
48,0.7725490196078432,13,gini,best
392,0.7725490196078432,99,gini,best
376,0.7705882352941177,95,gini,best
92,0.7705882352941177,24,gini,best
256,0.7705882352941177,65,gini,best
344,0.7705882352941177,87,gini,best
24,0.7686274509803922,7,gini,best
156,0.7686274509803922,40,gini,best
28,0.7686274509803922,8,gini,best
148,0.7686274509803922,38,gini,best
308,0.7686274509803922,78,gini,best
240,0.7686274509803922,61,gini,best
216,0.7666666666666667,55,gini,best
68,0.7666666666666667,18,gini,best
228,0.7666666666666667,58,gini,best
108,0.7666666666666667,28,gini,best
100,0.7666666666666667,26,gini,best
356,0.7666666666666667,90,gini,best
116,0.7666666666666667,30,gini,best
96,0.7666666666666667,25,gini,best
292,0.7647058823529411,74,gini,best
276,0.7647058823529411,70,gini,best
44,0.7647058823529411,12,gini,best
320,0.7647058823529411,81,gini,best
132,0.7647058823529411,34,gini,best
296,0.7627450980392156,75,gini,best
380,0.7627450980392156,96,gini,best
388,0.7627450980392156,98,gini,best
324,0.7627450980392156,82,gini,best
336,0.7627450980392156,85,gini,best
104,0.7607843137254902,27,gini,best
172,0.7607843137254902,44,gini,best
332,0.7607843137254902,84,gini,best
328,0.7588235294117647,83,gini,best
36,0.7588235294117647,10,gini,best
348,0.7568627450980392,88,gini,best
52,0.7568627450980392,14,gini,best
10,0.7568627450980392,3,entropy,best
80,0.7549019607843137,21,gini,best
352,0.7549019607843137,89,gini,best
272,0.7529411764705882,69,gini,best
304,0.7529411764705882,77,gini,best
384,0.7490196078431373,97,gini,best
124,0.7470588235294118,32,gini,best
8,0.7176470588235294,3,gini,best
129,0.611764705882353,33,gini,random
4,0.611764705882353,2,gini,best
145,0.611764705882353,37,gini,random
163,0.6098039215686275,41,entropy,random
107,0.6078431372549019,27,entropy,random
207,0.6019607843137255,52,entropy,random
291,0.5941176470588235,73,entropy,random
347,0.592156862745098,87,entropy,random
301,0.592156862745098,76,gini,random
365,0.592156862745098,92,gini,random
39,0.5882352941176471,10,entropy,random
109,0.5862745098039216,28,gini,random
211,0.5803921568627451,53,entropy,random
229,0.5803921568627451,58,gini,random
33,0.5764705882352941,9,gini,random
389,0.5725490196078431,98,gini,random
113,0.5705882352941176,29,gini,random
139,0.5686274509803921,35,entropy,random
6,0.5627450980392157,2,entropy,best
37,0.5627450980392157,10,gini,random
87,0.5627450980392157,22,entropy,random
143,0.5607843137254902,36,entropy,random
203,0.5607843137254902,51,entropy,random
345,0.5588235294117647,87,gini,random
357,0.5588235294117647,90,gini,random
227,0.5568627450980392,57,entropy,random
103,0.5549019607843138,26,entropy,random
53,0.5549019607843138,14,gini,random
177,0.5490196078431373,45,gini,random
251,0.5470588235294118,63,entropy,random
67,0.5470588235294118,17,entropy,random
385,0.5470588235294118,97,gini,random
217,0.5450980392156862,55,gini,random
63,0.5450980392156862,16,entropy,random
387,0.5450980392156862,97,entropy,random
25,0.5450980392156862,7,gini,random
181,0.5431372549019607,46,gini,random
131,0.5431372549019607,33,entropy,random
373,0.5431372549019607,94,gini,random
127,0.5411764705882353,32,entropy,random
147,0.5411764705882353,37,entropy,random
43,0.5392156862745098,11,entropy,random
197,0.5392156862745098,50,gini,random
353,0.5372549019607843,89,gini,random
393,0.5372549019607843,99,gini,random
239,0.5372549019607843,60,entropy,random
279,0.5352941176470588,70,entropy,random
215,0.5333333333333333,54,entropy,random
71,0.5313725490196078,18,entropy,random
209,0.5313725490196078,53,gini,random
93,0.5313725490196078,24,gini,random
175,0.5313725490196078,44,entropy,random
165,0.5294117647058824,42,gini,random
45,0.5294117647058824,12,gini,random
243,0.5254901960784314,61,entropy,random
23,0.5254901960784314,6,entropy,random
47,0.5254901960784314,12,entropy,random
199,0.5235294117647059,50,entropy,random
383,0.5235294117647059,96,entropy,random
105,0.5235294117647059,27,gini,random
193,0.5215686274509804,49,gini,random
135,0.5215686274509804,34,entropy,random
15,0.5215686274509804,4,entropy,random
355,0.5215686274509804,89,entropy,random
289,0.5196078431372549,73,gini,random
271,0.5196078431372549,68,entropy,random
125,0.5196078431372549,32,gini,random
377,0.5196078431372549,95,gini,random
231,0.5196078431372549,58,entropy,random
35,0.5176470588235295,9,entropy,random
95,0.5176470588235295,24,entropy,random
255,0.515686274509804,64,entropy,random
397,0.515686274509804,100,gini,random
351,0.5137254901960784,88,entropy,random
171,0.5117647058823529,43,entropy,random
149,0.5117647058823529,38,gini,random
155,0.5098039215686274,39,entropy,random
121,0.5098039215686274,31,gini,random
187,0.5098039215686274,47,entropy,random
79,0.5078431372549019,20,entropy,random
225,0.5078431372549019,57,gini,random
115,0.5078431372549019,29,entropy,random
313,0.5058823529411764,79,gini,random
237,0.5058823529411764,60,gini,random
331,0.5058823529411764,83,entropy,random
151,0.5058823529411764,38,entropy,random
319,0.503921568627451,80,entropy,random
287,0.5019607843137255,72,entropy,random
55,0.5019607843137255,14,entropy,random
195,0.5,49,entropy,random
91,0.4980392156862745,23,entropy,random
311,0.4980392156862745,78,entropy,random
169,0.49607843137254903,43,gini,random
61,0.49607843137254903,16,gini,random
259,0.49607843137254903,65,entropy,random
299,0.49607843137254903,75,entropy,random
77,0.49411764705882355,20,gini,random
307,0.49411764705882355,77,entropy,random
29,0.49411764705882355,8,gini,random
119,0.492156862745098,30,entropy,random
97,0.492156862745098,25,gini,random
17,0.492156862745098,5,gini,random
343,0.492156862745098,86,entropy,random
253,0.492156862745098,64,gini,random
335,0.49019607843137253,84,entropy,random
75,0.49019607843137253,19,entropy,random
281,0.49019607843137253,71,gini,random
137,0.48823529411764705,35,gini,random
21,0.48627450980392156,6,gini,random
329,0.4803921568627451,83,gini,random
173,0.4803921568627451,44,gini,random
27,0.47843137254901963,7,entropy,random
337,0.47843137254901963,85,gini,random
57,0.47843137254901963,15,gini,random
399,0.4764705882352941,100,entropy,random
241,0.4764705882352941,61,gini,random
233,0.4745098039215686,59,gini,random
363,0.4745098039215686,91,entropy,random
65,0.4745098039215686,17,gini,random
263,0.4745098039215686,66,entropy,random
85,0.4745098039215686,22,gini,random
295,0.4745098039215686,74,entropy,random
223,0.4725490196078431,56,entropy,random
321,0.4725490196078431,81,gini,random
73,0.4725490196078431,19,gini,random
371,0.4725490196078431,93,entropy,random
189,0.4725490196078431,48,gini,random
257,0.4725490196078431,65,gini,random
297,0.47058823529411764,75,gini,random
303,0.47058823529411764,76,entropy,random
167,0.47058823529411764,42,entropy,random
391,0.4666666666666667,98,entropy,random
205,0.4627450980392157,52,gini,random
367,0.4627450980392157,92,entropy,random
31,0.4627450980392157,8,entropy,random
219,0.46078431372549017,55,entropy,random
19,0.46078431372549017,5,entropy,random
51,0.4588235294117647,13,entropy,random
267,0.4568627450980392,67,entropy,random
283,0.4568627450980392,71,entropy,random
381,0.4568627450980392,96,gini,random
133,0.4568627450980392,34,gini,random
99,0.4568627450980392,25,entropy,random
153,0.4549019607843137,39,gini,random
339,0.45294117647058824,85,entropy,random
275,0.45294117647058824,69,entropy,random
269,0.45098039215686275,68,gini,random
101,0.45098039215686275,26,gini,random
185,0.45098039215686275,47,gini,random
327,0.45098039215686275,82,entropy,random
235,0.44901960784313727,59,entropy,random
123,0.44901960784313727,31,entropy,random
317,0.44901960784313727,80,gini,random
201,0.44901960784313727,51,gini,random
309,0.4470588235294118,78,gini,random
83,0.4470588235294118,21,entropy,random
59,0.44509803921568625,15,entropy,random
265,0.44313725490196076,67,gini,random
117,0.4411764705882353,30,gini,random
361,0.4411764705882353,91,gini,random
49,0.4411764705882353,13,gini,random
245,0.4392156862745098,62,gini,random
249,0.4392156862745098,63,gini,random
305,0.4372549019607843,77,gini,random
89,0.4372549019607843,23,gini,random
315,0.4372549019607843,79,entropy,random
141,0.43529411764705883,36,gini,random
349,0.43529411764705883,88,gini,random
375,0.43137254901960786,94,entropy,random
333,0.4294117647058823,84,gini,random
325,0.42745098039215684,82,gini,random
273,0.42745098039215684,69,gini,random
179,0.42549019607843136,45,entropy,random
159,0.42549019607843136,40,entropy,random
359,0.4235294117647059,90,entropy,random
293,0.4235294117647059,74,gini,random
69,0.4235294117647059,18,gini,random
395,0.4215686274509804,99,entropy,random
9,0.4215686274509804,3,gini,random
41,0.4215686274509804,11,gini,random
221,0.4176470588235294,56,gini,random
247,0.4137254901960784,62,entropy,random
157,0.4137254901960784,40,gini,random
5,0.4137254901960784,2,gini,random
183,0.4117647058823529,46,entropy,random
0,0.40980392156862744,1,gini,best
81,0.40980392156862744,21,gini,random
379,0.40980392156862744,95,entropy,random
2,0.40784313725490196,1,entropy,best
261,0.403921568627451,66,gini,random
191,0.403921568627451,48,entropy,random
323,0.396078431372549,81,entropy,random
341,0.39019607843137255,86,gini,random
369,0.3862745098039216,93,gini,random
7,0.3784313725490196,2,entropy,random
111,0.3784313725490196,28,entropy,random
213,0.36666666666666664,54,gini,random
161,0.36470588235294116,41,gini,random
285,0.3568627450980392,72,gini,random
13,0.35294117647058826,4,gini,random
277,0.34901960784313724,70,gini,random
3,0.34509803921568627,1,entropy,random
11,0.3411764705882353,3,entropy,random
1,0.3,1,gini,random
