,accuracy,max_depth,criterion,splitter
16,0.9926956521739131,5,gini,best
18,0.992,5,entropy,best
20,0.9829565217391304,6,gini,best
28,0.9798260869565217,8,gini,best
24,0.9773913043478261,7,gini,best
22,0.9766956521739131,6,entropy,best
26,0.9749565217391304,7,entropy,best
32,0.9732173913043478,9,gini,best
52,0.9700869565217392,14,gini,best
36,0.9690434782608696,10,gini,best
40,0.968,11,gini,best
56,0.9666086956521739,15,gini,best
44,0.9662608695652174,12,gini,best
64,0.9662608695652174,17,gini,best
14,0.9634782608695652,4,entropy,best
48,0.9631304347826087,13,gini,best
80,0.9627826086956521,21,gini,best
12,0.9624347826086956,4,gini,best
72,0.959304347826087,19,gini,best
60,0.9586086956521739,16,gini,best
174,0.9568695652173913,44,entropy,best
266,0.9565217391304348,67,entropy,best
42,0.9554782608695652,11,entropy,best
74,0.9554782608695652,19,entropy,best
212,0.9554782608695652,54,gini,best
130,0.9551304347826087,33,entropy,best
236,0.9551304347826087,60,gini,best
242,0.9551304347826087,61,entropy,best
262,0.9547826086956521,66,entropy,best
302,0.9547826086956521,76,entropy,best
322,0.9540869565217391,81,entropy,best
210,0.9540869565217391,53,entropy,best
104,0.9537391304347826,27,gini,best
30,0.9537391304347826,8,entropy,best
342,0.9537391304347826,86,entropy,best
156,0.953391304347826,40,gini,best
182,0.953391304347826,46,entropy,best
98,0.953391304347826,25,entropy,best
76,0.953391304347826,20,gini,best
68,0.953391304347826,18,gini,best
288,0.9530434782608695,73,gini,best
254,0.9530434782608695,64,entropy,best
54,0.9530434782608695,14,entropy,best
88,0.952695652173913,23,gini,best
394,0.952695652173913,99,entropy,best
122,0.952695652173913,31,entropy,best
178,0.952695652173913,45,entropy,best
108,0.9523478260869566,28,gini,best
202,0.9523478260869566,51,entropy,best
116,0.9523478260869566,30,gini,best
330,0.9523478260869566,83,entropy,best
168,0.9523478260869566,43,gini,best
86,0.9523478260869566,22,entropy,best
154,0.9523478260869566,39,entropy,best
206,0.9523478260869566,52,entropy,best
188,0.952,48,gini,best
292,0.952,74,gini,best
50,0.952,13,entropy,best
204,0.952,52,gini,best
318,0.952,80,entropy,best
162,0.952,41,entropy,best
70,0.9516521739130435,18,entropy,best
358,0.9516521739130435,90,entropy,best
82,0.9516521739130435,21,entropy,best
216,0.951304347826087,55,gini,best
84,0.951304347826087,22,gini,best
294,0.951304347826087,74,entropy,best
118,0.951304347826087,30,entropy,best
244,0.951304347826087,62,gini,best
172,0.9509565217391305,44,gini,best
138,0.9509565217391305,35,entropy,best
334,0.9509565217391305,84,entropy,best
200,0.9509565217391305,51,gini,best
34,0.9509565217391305,9,entropy,best
290,0.9506086956521739,73,entropy,best
160,0.9506086956521739,41,gini,best
196,0.9506086956521739,50,gini,best
366,0.9506086956521739,92,entropy,best
134,0.9506086956521739,34,entropy,best
62,0.9506086956521739,16,entropy,best
232,0.9506086956521739,59,gini,best
78,0.9506086956521739,20,entropy,best
346,0.9506086956521739,87,entropy,best
282,0.9502608695652174,71,entropy,best
198,0.9502608695652174,50,entropy,best
360,0.9502608695652174,91,gini,best
90,0.9502608695652174,23,entropy,best
248,0.9502608695652174,63,gini,best
38,0.9499130434782609,10,entropy,best
310,0.9499130434782609,78,entropy,best
382,0.9499130434782609,96,entropy,best
226,0.9499130434782609,57,entropy,best
146,0.9499130434782609,37,entropy,best
92,0.9499130434782609,24,gini,best
