,accuracy,max_depth,criterion,splitter
10,0.997920997920998,3,entropy,best
8,0.997920997920998,3,gini,best
4,0.997920997920998,2,gini,best
6,0.997920997920998,2,entropy,best
24,0.9958419958419958,7,gini,best
14,0.9958419958419958,4,entropy,best
12,0.9958419958419958,4,gini,best
20,0.9958419958419958,6,gini,best
308,0.9937629937629938,78,gini,best
16,0.9937629937629938,5,gini,best
232,0.9937629937629938,59,gini,best
204,0.9937629937629938,52,gini,best
124,0.9937629937629938,32,gini,best
236,0.9916839916839917,60,gini,best
372,0.9916839916839917,94,gini,best
144,0.9916839916839917,37,gini,best
28,0.9916839916839917,8,gini,best
356,0.9916839916839917,90,gini,best
344,0.9916839916839917,87,gini,best
340,0.9916839916839917,86,gini,best
184,0.9916839916839917,47,gini,best
96,0.9916839916839917,25,gini,best
264,0.9916839916839917,67,gini,best
224,0.9916839916839917,57,gini,best
80,0.9916839916839917,21,gini,best
188,0.9916839916839917,48,gini,best
192,0.9916839916839917,49,gini,best
288,0.9916839916839917,73,gini,best
172,0.9916839916839917,44,gini,best
122,0.9896049896049897,31,entropy,best
76,0.9896049896049897,20,gini,best
152,0.9896049896049897,39,gini,best
114,0.9896049896049897,29,entropy,best
52,0.9896049896049897,14,gini,best
156,0.9896049896049897,40,gini,best
160,0.9896049896049897,41,gini,best
296,0.9896049896049897,75,gini,best
352,0.9896049896049897,89,gini,best
22,0.9896049896049897,6,entropy,best
18,0.9896049896049897,5,entropy,best
208,0.9896049896049897,53,gini,best
394,0.9896049896049897,99,entropy,best
388,0.9896049896049897,98,gini,best
32,0.9896049896049897,9,gini,best
384,0.9896049896049897,97,gini,best
278,0.9875259875259875,70,entropy,best
258,0.9875259875259875,65,entropy,best
170,0.9875259875259875,43,entropy,best
70,0.9875259875259875,18,entropy,best
382,0.9875259875259875,96,entropy,best
322,0.9875259875259875,81,entropy,best
364,0.9875259875259875,92,gini,best
280,0.9875259875259875,71,gini,best
252,0.9875259875259875,64,gini,best
284,0.9875259875259875,72,gini,best
108,0.9875259875259875,28,gini,best
310,0.9875259875259875,78,entropy,best
292,0.9875259875259875,74,gini,best
198,0.9875259875259875,50,entropy,best
398,0.9875259875259875,100,entropy,best
386,0.9875259875259875,97,entropy,best
260,0.9875259875259875,66,gini,best
336,0.9875259875259875,85,gini,best
42,0.9875259875259875,11,entropy,best
148,0.9875259875259875,38,gini,best
180,0.9875259875259875,46,gini,best
346,0.9875259875259875,87,entropy,best
162,0.9875259875259875,41,entropy,best
376,0.9875259875259875,95,gini,best
218,0.9875259875259875,55,entropy,best
222,0.9875259875259875,56,entropy,best
168,0.9875259875259875,43,gini,best
