,accuracy,max_depth,criterion,splitter
26,0.655045871559633,7,entropy,best
22,0.6385321100917432,6,entropy,best
206,0.634862385321101,52,entropy,best
58,0.6339449541284403,15,entropy,best
330,0.6330275229357798,83,entropy,best
278,0.6284403669724771,70,entropy,best
174,0.6247706422018349,44,entropy,best
30,0.6238532110091743,8,entropy,best
298,0.6238532110091743,75,entropy,best
98,0.6238532110091743,25,entropy,best
386,0.6229357798165137,97,entropy,best
258,0.6229357798165137,65,entropy,best
294,0.6220183486238532,74,entropy,best
246,0.6211009174311927,62,entropy,best
362,0.6211009174311927,91,entropy,best
142,0.6211009174311927,36,entropy,best
286,0.6211009174311927,72,entropy,best
46,0.6201834862385321,12,entropy,best
322,0.6201834862385321,81,entropy,best
238,0.6201834862385321,60,entropy,best
398,0.6201834862385321,100,entropy,best
290,0.6192660550458715,73,entropy,best
194,0.6192660550458715,49,entropy,best
182,0.618348623853211,46,entropy,best
102,0.618348623853211,26,entropy,best
78,0.618348623853211,20,entropy,best
18,0.618348623853211,5,entropy,best
186,0.618348623853211,47,entropy,best
70,0.6174311926605505,18,entropy,best
24,0.6174311926605505,7,gini,best
358,0.6174311926605505,90,entropy,best
190,0.6174311926605505,48,entropy,best
90,0.6174311926605505,23,entropy,best
34,0.6174311926605505,9,entropy,best
138,0.6165137614678899,35,entropy,best
202,0.6165137614678899,51,entropy,best
94,0.6165137614678899,24,entropy,best
170,0.6155963302752293,43,entropy,best
134,0.6155963302752293,34,entropy,best
210,0.6155963302752293,53,entropy,best
302,0.6155963302752293,76,entropy,best
350,0.6155963302752293,88,entropy,best
334,0.6146788990825688,84,entropy,best
394,0.6137614678899083,99,entropy,best
226,0.6137614678899083,57,entropy,best
250,0.6128440366972477,63,entropy,best
266,0.6128440366972477,67,entropy,best
66,0.6128440366972477,17,entropy,best
146,0.6128440366972477,37,entropy,best
130,0.6128440366972477,33,entropy,best
222,0.6128440366972477,56,entropy,best
346,0.6128440366972477,87,entropy,best
274,0.6128440366972477,69,entropy,best
338,0.6119266055045871,85,entropy,best
110,0.6119266055045871,28,entropy,best
118,0.6119266055045871,30,entropy,best
310,0.6110091743119266,78,entropy,best
270,0.6110091743119266,68,entropy,best
126,0.6110091743119266,32,entropy,best
326,0.6110091743119266,82,entropy,best
178,0.6110091743119266,45,entropy,best
390,0.6100917431192661,98,entropy,best
306,0.6100917431192661,77,entropy,best
230,0.6100917431192661,58,entropy,best
162,0.6091743119266055,41,entropy,best
198,0.6091743119266055,50,entropy,best
42,0.6091743119266055,11,entropy,best
354,0.6082568807339449,89,entropy,best
122,0.6082568807339449,31,entropy,best
74,0.6073394495412844,19,entropy,best
158,0.6073394495412844,40,entropy,best
342,0.6073394495412844,86,entropy,best
242,0.6073394495412844,61,entropy,best
234,0.6073394495412844,59,entropy,best
166,0.6064220183486239,42,entropy,best
314,0.6064220183486239,79,entropy,best
214,0.6055045871559633,54,entropy,best
366,0.6055045871559633,92,entropy,best
62,0.6055045871559633,16,entropy,best
114,0.6045871559633027,29,entropy,best
382,0.6045871559633027,96,entropy,best
86,0.6045871559633027,22,entropy,best
54,0.6045871559633027,14,entropy,best
378,0.6036697247706422,95,entropy,best
20,0.6036697247706422,6,gini,best
16,0.6036697247706422,5,gini,best
82,0.6027522935779817,21,entropy,best
218,0.6027522935779817,55,entropy,best
38,0.6027522935779817,10,entropy,best
106,0.6018348623853211,27,entropy,best
50,0.6018348623853211,13,entropy,best
262,0.6009174311926605,66,entropy,best
150,0.6009174311926605,38,entropy,best
282,0.6009174311926605,71,entropy,best
154,0.6009174311926605,39,entropy,best
318,0.5981651376146789,80,entropy,best
374,0.5963302752293578,94,entropy,best
254,0.5954128440366973,64,entropy,best
370,0.5944954128440367,93,entropy,best
28,0.5880733944954128,8,gini,best
140,0.5853211009174312,36,gini,best
308,0.5825688073394495,78,gini,best
64,0.581651376146789,17,gini,best
332,0.581651376146789,84,gini,best
56,0.581651376146789,15,gini,best
168,0.581651376146789,43,gini,best
172,0.581651376146789,44,gini,best
32,0.5807339449541284,9,gini,best
196,0.5807339449541284,50,gini,best
252,0.5798165137614679,64,gini,best
316,0.5798165137614679,80,gini,best
112,0.5798165137614679,29,gini,best
256,0.5798165137614679,65,gini,best
52,0.5788990825688073,14,gini,best
388,0.5779816513761468,98,gini,best
188,0.5779816513761468,48,gini,best
48,0.5770642201834862,13,gini,best
220,0.5770642201834862,56,gini,best
284,0.5770642201834862,72,gini,best
72,0.5770642201834862,19,gini,best
392,0.5770642201834862,99,gini,best
160,0.5761467889908257,41,gini,best
216,0.5761467889908257,55,gini,best
228,0.5752293577981651,58,gini,best
328,0.5752293577981651,83,gini,best
128,0.5752293577981651,33,gini,best
272,0.5743119266055046,69,gini,best
224,0.5743119266055046,57,gini,best
200,0.5743119266055046,51,gini,best
260,0.5743119266055046,66,gini,best
336,0.5743119266055046,85,gini,best
352,0.573394495412844,89,gini,best
372,0.573394495412844,94,gini,best
40,0.5724770642201835,11,gini,best
84,0.5724770642201835,22,gini,best
324,0.5724770642201835,82,gini,best
300,0.5715596330275229,76,gini,best
152,0.5715596330275229,39,gini,best
164,0.5706422018348624,42,gini,best
212,0.5706422018348624,54,gini,best
120,0.5706422018348624,31,gini,best
236,0.5697247706422018,60,gini,best
124,0.5697247706422018,32,gini,best
292,0.5697247706422018,74,gini,best
348,0.5688073394495413,88,gini,best
36,0.5688073394495413,10,gini,best
304,0.5688073394495413,77,gini,best
192,0.5688073394495413,49,gini,best
232,0.5688073394495413,59,gini,best
360,0.5688073394495413,91,gini,best
132,0.5678899082568807,34,gini,best
136,0.5669724770642202,35,gini,best
96,0.5669724770642202,25,gini,best
312,0.5669724770642202,79,gini,best
376,0.5660550458715596,95,gini,best
80,0.5660550458715596,21,gini,best
268,0.5660550458715596,68,gini,best
384,0.5660550458715596,97,gini,best
184,0.5660550458715596,47,gini,best
68,0.5660550458715596,18,gini,best
340,0.5651376146788991,86,gini,best
104,0.5651376146788991,27,gini,best
44,0.5651376146788991,12,gini,best
204,0.5651376146788991,52,gini,best
148,0.5651376146788991,38,gini,best
296,0.5642201834862385,75,gini,best
364,0.5642201834862385,92,gini,best
380,0.5642201834862385,96,gini,best
344,0.5642201834862385,87,gini,best
264,0.5642201834862385,67,gini,best
248,0.5642201834862385,63,gini,best
240,0.563302752293578,61,gini,best
92,0.563302752293578,24,gini,best
88,0.563302752293578,23,gini,best
368,0.5623853211009174,93,gini,best
108,0.5623853211009174,28,gini,best
60,0.5614678899082569,16,gini,best
208,0.5614678899082569,53,gini,best
144,0.5614678899082569,37,gini,best
320,0.5605504587155963,81,gini,best
156,0.5587155963302752,40,gini,best
244,0.5587155963302752,62,gini,best
276,0.5587155963302752,70,gini,best
176,0.5577981651376147,45,gini,best
180,0.5568807339449541,46,gini,best
100,0.5559633027522936,26,gini,best
356,0.555045871559633,90,gini,best
288,0.5522935779816514,73,gini,best
76,0.5513761467889908,20,gini,best
396,0.5486238532110091,100,gini,best
116,0.5467889908256881,30,gini,best
280,0.5422018348623853,71,gini,best
12,0.5045871559633027,4,gini,best
14,0.4990825688073395,4,entropy,best
37,0.44495412844036697,10,gini,random
31,0.44495412844036697,8,entropy,random
143,0.44403669724770645,36,entropy,random
141,0.43394495412844036,36,gini,random
41,0.43119266055045874,11,gini,random
299,0.43119266055045874,75,entropy,random
29,0.42660550458715596,8,gini,random
349,0.42568807339449544,88,gini,random
33,0.42201834862385323,9,gini,random
117,0.41467889908256883,30,gini,random
253,0.41100917431192663,64,gini,random
251,0.41009174311926605,63,entropy,random
21,0.4073394495412844,6,gini,random
323,0.4055045871559633,81,entropy,random
8,0.4036697247706422,3,gini,best
45,0.3963302752293578,12,gini,random
10,0.3963302752293578,3,entropy,best
15,0.3908256880733945,4,entropy,random
53,0.3871559633027523,14,gini,random
307,0.38623853211009174,77,entropy,random
183,0.38623853211009174,46,entropy,random
175,0.38440366972477064,44,entropy,random
287,0.38256880733944953,72,entropy,random
149,0.38073394495412843,38,gini,random
357,0.3798165137614679,90,gini,random
69,0.37889908256880733,18,gini,random
211,0.3761467889908257,53,entropy,random
79,0.37522935779816513,20,entropy,random
19,0.3743119266055046,5,entropy,random
277,0.37339449541284403,70,gini,random
231,0.3724770642201835,58,entropy,random
165,0.3724770642201835,42,gini,random
6,0.3706422018348624,2,entropy,best
259,0.3706422018348624,65,entropy,random
201,0.3697247706422018,51,gini,random
4,0.3688073394495413,2,gini,best
153,0.3678899082568807,39,gini,random
25,0.3669724770642202,7,gini,random
359,0.3642201834862385,90,entropy,random
107,0.3642201834862385,27,entropy,random
169,0.3614678899082569,43,gini,random
167,0.3614678899082569,42,entropy,random
327,0.3614678899082569,82,entropy,random
393,0.3605504587155963,99,gini,random
151,0.3605504587155963,38,entropy,random
373,0.3596330275229358,94,gini,random
247,0.3577981651376147,62,entropy,random
275,0.3577981651376147,69,entropy,random
101,0.3568807339449541,26,gini,random
27,0.3568807339449541,7,entropy,random
319,0.3568807339449541,80,entropy,random
313,0.3568807339449541,79,gini,random
305,0.355045871559633,77,gini,random
363,0.355045871559633,91,entropy,random
197,0.3541284403669725,50,gini,random
7,0.3541284403669725,2,entropy,random
113,0.3532110091743119,29,gini,random
241,0.3522935779816514,61,gini,random
371,0.3522935779816514,93,entropy,random
9,0.3522935779816514,3,gini,random
137,0.3513761467889908,35,gini,random
119,0.3504587155963303,30,entropy,random
333,0.3495412844036697,84,gini,random
61,0.3486238532110092,16,gini,random
71,0.3477064220183486,18,entropy,random
185,0.3477064220183486,47,gini,random
295,0.3467889908256881,74,entropy,random
0,0.3467889908256881,1,gini,best
2,0.3467889908256881,1,entropy,best
111,0.3458715596330275,28,entropy,random
23,0.3458715596330275,6,entropy,random
261,0.344954128440367,66,gini,random
125,0.344954128440367,32,gini,random
47,0.3440366972477064,12,entropy,random
239,0.3431192660550459,60,entropy,random
123,0.3422018348623853,31,entropy,random
121,0.3422018348623853,31,gini,random
321,0.3412844036697248,81,gini,random
329,0.3403669724770642,83,gini,random
191,0.3403669724770642,48,entropy,random
17,0.3394495412844037,5,gini,random
343,0.3385321100917431,86,entropy,random
93,0.3385321100917431,24,gini,random
159,0.3376146788990826,40,entropy,random
339,0.3357798165137615,85,entropy,random
219,0.3348623853211009,55,entropy,random
95,0.3348623853211009,24,entropy,random
139,0.3348623853211009,35,entropy,random
345,0.3339449541284404,87,gini,random
257,0.3339449541284404,65,gini,random
351,0.3321100917431193,88,entropy,random
35,0.3321100917431193,9,entropy,random
163,0.3311926605504587,41,entropy,random
77,0.3311926605504587,20,gini,random
89,0.3302752293577982,23,gini,random
291,0.3302752293577982,73,entropy,random
161,0.3302752293577982,41,gini,random
217,0.3293577981651376,55,gini,random
269,0.3284403669724771,68,gini,random
63,0.3275229357798165,16,entropy,random
255,0.3275229357798165,64,entropy,random
5,0.3275229357798165,2,gini,random
147,0.326605504587156,37,entropy,random
171,0.326605504587156,43,entropy,random
127,0.3256880733944954,32,entropy,random
155,0.3256880733944954,39,entropy,random
189,0.3256880733944954,48,gini,random
385,0.3247706422018349,97,gini,random
115,0.3247706422018349,29,entropy,random
11,0.3247706422018349,3,entropy,random
129,0.3238532110091743,33,gini,random
325,0.3229357798165138,82,gini,random
173,0.3229357798165138,44,gini,random
245,0.3220183486238532,62,gini,random
347,0.3220183486238532,87,entropy,random
87,0.3192660550458716,22,entropy,random
303,0.318348623853211,76,entropy,random
49,0.318348623853211,13,gini,random
227,0.318348623853211,57,entropy,random
267,0.318348623853211,67,entropy,random
289,0.3174311926605505,73,gini,random
281,0.3174311926605505,71,gini,random
337,0.3165137614678899,85,gini,random
379,0.3165137614678899,95,entropy,random
97,0.3146788990825688,25,gini,random
81,0.3146788990825688,21,gini,random
383,0.3146788990825688,96,entropy,random
309,0.3137614678899083,78,gini,random
193,0.3137614678899083,49,gini,random
263,0.3137614678899083,66,entropy,random
311,0.3137614678899083,78,entropy,random
157,0.3128440366972477,40,gini,random
387,0.3128440366972477,97,entropy,random
179,0.3119266055045872,45,entropy,random
375,0.3110091743119266,94,entropy,random
145,0.3110091743119266,37,gini,random
133,0.3110091743119266,34,gini,random
203,0.3100917431192661,51,entropy,random
55,0.3100917431192661,14,entropy,random
369,0.30825688073394497,93,gini,random
51,0.30825688073394497,13,entropy,random
271,0.30825688073394497,68,entropy,random
397,0.3073394495412844,100,gini,random
195,0.3073394495412844,49,entropy,random
177,0.30642201834862387,45,gini,random
395,0.30642201834862387,99,entropy,random
273,0.30642201834862387,69,gini,random
265,0.3055045871559633,67,gini,random
391,0.30458715596330277,98,entropy,random
341,0.30458715596330277,86,gini,random
365,0.3036697247706422,92,gini,random
13,0.3036697247706422,4,gini,random
85,0.30275229357798167,22,gini,random
135,0.30275229357798167,34,entropy,random
233,0.30275229357798167,59,gini,random
205,0.3018348623853211,52,gini,random
249,0.3018348623853211,63,gini,random
3,0.30091743119266057,1,entropy,random
91,0.29908256880733947,23,entropy,random
39,0.29908256880733947,10,entropy,random
237,0.29724770642201837,60,gini,random
297,0.29724770642201837,75,gini,random
109,0.29724770642201837,28,gini,random
315,0.29541284403669726,79,entropy,random
243,0.2944954128440367,61,entropy,random
213,0.29357798165137616,54,gini,random
207,0.29357798165137616,52,entropy,random
181,0.29357798165137616,46,gini,random
83,0.2926605504587156,21,entropy,random
59,0.29174311926605506,15,entropy,random
285,0.29174311926605506,72,gini,random
187,0.29174311926605506,47,entropy,random
1,0.2908256880733945,1,gini,random
353,0.28990825688073396,89,gini,random
67,0.28990825688073396,17,entropy,random
361,0.2889908256880734,91,gini,random
103,0.28807339449541286,26,entropy,random
293,0.28807339449541286,74,gini,random
331,0.2871559633027523,83,entropy,random
399,0.2871559633027523,100,entropy,random
199,0.28623853211009176,50,entropy,random
57,0.2853211009174312,15,gini,random
43,0.28440366972477066,11,entropy,random
105,0.2834862385321101,27,gini,random
235,0.28256880733944956,59,entropy,random
381,0.281651376146789,96,gini,random
279,0.281651376146789,70,entropy,random
301,0.281651376146789,76,gini,random
131,0.28073394495412846,33,entropy,random
283,0.2779816513761468,71,entropy,random
223,0.2779816513761468,56,entropy,random
73,0.2761467889908257,19,gini,random
221,0.27522935779816515,56,gini,random
75,0.27522935779816515,19,entropy,random
229,0.27522935779816515,58,gini,random
335,0.27522935779816515,84,entropy,random
209,0.27339449541284405,53,gini,random
225,0.2724770642201835,57,gini,random
317,0.26972477064220185,80,gini,random
389,0.26972477064220185,98,gini,random
65,0.26788990825688075,17,gini,random
367,0.26422018348623855,92,entropy,random
377,0.26146788990825687,95,gini,random
99,0.25963302752293577,25,entropy,random
355,0.25963302752293577,89,entropy,random
215,0.24954128440366974,54,entropy,random
