,accuracy,max_depth,criterion,splitter
38,0.8765085602020769,10,entropy,best
30,0.8751052483861914,8,entropy,best
26,0.870895312938535,7,entropy,best
34,0.8703339882121808,9,entropy,best
74,0.868088689306764,19,entropy,best
22,0.8678080269435868,6,entropy,best
206,0.8672467022172327,52,entropy,best
42,0.8669660398540556,11,entropy,best
322,0.8664047151277013,81,entropy,best
286,0.8664047151277013,72,entropy,best
28,0.8661240527645243,8,gini,best
182,0.8661240527645243,46,entropy,best
374,0.8661240527645243,94,entropy,best
82,0.8661240527645243,21,entropy,best
238,0.8661240527645243,60,entropy,best
362,0.8661240527645243,91,entropy,best
270,0.86556272803817,68,entropy,best
298,0.86556272803817,75,entropy,best
378,0.865282065674993,95,entropy,best
114,0.865282065674993,29,entropy,best
358,0.865282065674993,90,entropy,best
150,0.8650014033118159,38,entropy,best
250,0.8650014033118159,63,entropy,best
58,0.8647207409486388,15,entropy,best
274,0.8647207409486388,69,entropy,best
50,0.8647207409486388,13,entropy,best
214,0.8647207409486388,54,entropy,best
32,0.8644400785854617,9,gini,best
36,0.8644400785854617,10,gini,best
174,0.8641594162222845,44,entropy,best
146,0.8641594162222845,37,entropy,best
166,0.8641594162222845,42,entropy,best
330,0.8641594162222845,83,entropy,best
242,0.8641594162222845,61,entropy,best
334,0.8638787538591075,84,entropy,best
142,0.8638787538591075,36,entropy,best
338,0.8635980914959304,85,entropy,best
282,0.8635980914959304,71,entropy,best
234,0.8633174291327533,59,entropy,best
186,0.8633174291327533,47,entropy,best
266,0.8633174291327533,67,entropy,best
158,0.8630367667695762,40,entropy,best
54,0.8630367667695762,14,entropy,best
24,0.8630367667695762,7,gini,best
398,0.8630367667695762,100,entropy,best
342,0.862756104406399,86,entropy,best
390,0.862756104406399,98,entropy,best
62,0.862475442043222,16,entropy,best
94,0.862475442043222,24,entropy,best
134,0.862475442043222,34,entropy,best
106,0.862475442043222,27,entropy,best
346,0.862475442043222,87,entropy,best
354,0.862475442043222,89,entropy,best
222,0.8621947796800449,56,entropy,best
306,0.8621947796800449,77,entropy,best
302,0.8619141173168678,76,entropy,best
382,0.8619141173168678,96,entropy,best
290,0.8619141173168678,73,entropy,best
154,0.8619141173168678,39,entropy,best
254,0.8619141173168678,64,entropy,best
294,0.8619141173168678,74,entropy,best
44,0.8616334549536907,12,gini,best
386,0.8616334549536907,97,entropy,best
102,0.8613527925905136,26,entropy,best
310,0.8613527925905136,78,entropy,best
126,0.8613527925905136,32,entropy,best
86,0.8610721302273365,22,entropy,best
70,0.8610721302273365,18,entropy,best
90,0.8610721302273365,23,entropy,best
110,0.8610721302273365,28,entropy,best
170,0.8607914678641594,43,entropy,best
138,0.8607914678641594,35,entropy,best
210,0.8607914678641594,53,entropy,best
202,0.8605108055009824,51,entropy,best
394,0.8605108055009824,99,entropy,best
246,0.8602301431378052,62,entropy,best
190,0.8602301431378052,48,entropy,best
194,0.8599494807746281,49,entropy,best
162,0.8599494807746281,41,entropy,best
350,0.8599494807746281,88,entropy,best
226,0.859668818411451,57,entropy,best
78,0.859668818411451,20,entropy,best
66,0.859668818411451,17,entropy,best
326,0.8593881560482739,82,entropy,best
46,0.8593881560482739,12,entropy,best
314,0.8591074936850969,79,entropy,best
40,0.8588268313219197,11,gini,best
370,0.8588268313219197,93,entropy,best
218,0.8588268313219197,55,entropy,best
118,0.8585461689587426,30,entropy,best
230,0.8585461689587426,58,entropy,best
366,0.8579848442323884,92,entropy,best
258,0.8579848442323884,65,entropy,best
278,0.8579848442323884,70,entropy,best
262,0.8579848442323884,66,entropy,best
122,0.8574235195060342,31,entropy,best
98,0.8571428571428571,25,entropy,best
60,0.8568621947796801,16,gini,best
178,0.8568621947796801,45,entropy,best
130,0.8563008700533259,33,entropy,best
198,0.8560202076901487,50,entropy,best
318,0.8546168958742633,80,entropy,best
344,0.8543362335110861,87,gini,best
216,0.853774908784732,55,gini,best
48,0.853774908784732,13,gini,best
192,0.8532135840583778,49,gini,best
144,0.8520909346056694,37,gini,best
384,0.8520909346056694,97,gini,best
312,0.8512489475161381,79,gini,best
132,0.8512489475161381,34,gini,best
372,0.8512489475161381,94,gini,best
52,0.8512489475161381,14,gini,best
156,0.850968285152961,40,gini,best
248,0.850968285152961,63,gini,best
164,0.850968285152961,42,gini,best
200,0.850968285152961,51,gini,best
320,0.8506876227897839,81,gini,best
292,0.8506876227897839,74,gini,best
180,0.8504069604266068,46,gini,best
252,0.8504069604266068,64,gini,best
20,0.8504069604266068,6,gini,best
224,0.8504069604266068,57,gini,best
240,0.8501262980634297,61,gini,best
392,0.8501262980634297,99,gini,best
84,0.8501262980634297,22,gini,best
376,0.8501262980634297,95,gini,best
272,0.8498456357002526,69,gini,best
236,0.8498456357002526,60,gini,best
56,0.8495649733370755,15,gini,best
368,0.8492843109738984,93,gini,best
120,0.8490036486107213,31,gini,best
256,0.8490036486107213,65,gini,best
