,accuracy,max_depth,criteria,splitter
34,0.8123018389346861,9,entropy,best
50,0.8110336081166772,13,entropy,best
154,0.8091312618896639,39,entropy,best
362,0.8072289156626506,91,entropy,best
302,0.8065948002536462,76,entropy,best
98,0.8059606848446417,25,entropy,best
166,0.8053265694356373,42,entropy,best
110,0.8046924540266328,28,entropy,best
162,0.8046924540266328,41,entropy,best
102,0.8046924540266328,26,entropy,best
150,0.8040583386176284,38,entropy,best
386,0.8040583386176284,97,entropy,best
306,0.8040583386176284,77,entropy,best
334,0.8034242232086239,84,entropy,best
246,0.8027901077996196,62,entropy,best
146,0.8027901077996196,37,entropy,best
86,0.8027901077996196,22,entropy,best
198,0.8021559923906151,50,entropy,best
222,0.8021559923906151,56,entropy,best
242,0.8015218769816107,61,entropy,best
374,0.8008877615726062,94,entropy,best
382,0.8008877615726062,96,entropy,best
358,0.8008877615726062,90,entropy,best
294,0.8008877615726062,74,entropy,best
354,0.8008877615726062,89,entropy,best
78,0.8008877615726062,20,entropy,best
142,0.8008877615726062,36,entropy,best
282,0.8002536461636017,71,entropy,best
298,0.8002536461636017,75,entropy,best
186,0.8002536461636017,47,entropy,best
38,0.8002536461636017,10,entropy,best
122,0.8002536461636017,31,entropy,best
310,0.8002536461636017,78,entropy,best
70,0.7996195307545974,18,entropy,best
134,0.7996195307545974,34,entropy,best
314,0.7996195307545974,79,entropy,best
366,0.7996195307545974,92,entropy,best
250,0.7996195307545974,63,entropy,best
226,0.7989854153455929,57,entropy,best
286,0.7989854153455929,72,entropy,best
190,0.7989854153455929,48,entropy,best
30,0.7989854153455929,8,entropy,best
370,0.7989854153455929,93,entropy,best
254,0.7983512999365885,64,entropy,best
206,0.7983512999365885,52,entropy,best
126,0.7983512999365885,32,entropy,best
338,0.7983512999365885,85,entropy,best
54,0.797717184527584,14,entropy,best
106,0.797717184527584,27,entropy,best
234,0.797717184527584,59,entropy,best
322,0.7970830691185796,81,entropy,best
262,0.7970830691185796,66,entropy,best
194,0.7964489537095751,49,entropy,best
170,0.7964489537095751,43,entropy,best
274,0.7964489537095751,69,entropy,best
350,0.7958148383005708,88,entropy,best
62,0.7958148383005708,16,entropy,best
82,0.7958148383005708,21,entropy,best
330,0.7958148383005708,83,entropy,best
94,0.7951807228915663,24,entropy,best
214,0.7951807228915663,54,entropy,best
266,0.7945466074825618,67,entropy,best
118,0.7945466074825618,30,entropy,best
278,0.7945466074825618,70,entropy,best
230,0.7939124920735574,58,entropy,best
178,0.7939124920735574,45,entropy,best
158,0.7939124920735574,40,entropy,best
258,0.7939124920735574,65,entropy,best
346,0.7939124920735574,87,entropy,best
290,0.7939124920735574,73,entropy,best
130,0.7939124920735574,33,entropy,best
174,0.7939124920735574,44,entropy,best
210,0.7932783766645529,53,entropy,best
390,0.7926442612555485,98,entropy,best
182,0.7926442612555485,46,entropy,best
218,0.7926442612555485,55,entropy,best
42,0.7926442612555485,11,entropy,best
238,0.7920101458465441,60,entropy,best
202,0.7920101458465441,51,entropy,best
398,0.7913760304375397,100,entropy,best
138,0.7913760304375397,35,entropy,best
114,0.7913760304375397,29,entropy,best
90,0.7913760304375397,23,entropy,best
342,0.7907419150285352,86,entropy,best
270,0.7907419150285352,68,entropy,best
378,0.7901077996195307,95,entropy,best
74,0.7901077996195307,19,entropy,best
58,0.7901077996195307,15,entropy,best
394,0.7894736842105263,99,entropy,best
46,0.7888395688015218,12,entropy,best
326,0.7888395688015218,82,entropy,best
318,0.787571337983513,80,entropy,best
66,0.7863031071655041,17,entropy,best
26,0.7863031071655041,7,entropy,best
32,0.7793278376664553,9,gini,best
388,0.7793278376664553,98,gini,best
288,0.7793278376664553,73,gini,best
36,0.7767913760304376,10,gini,best
396,0.7767913760304376,100,gini,best
28,0.7767913760304376,8,gini,best
176,0.7761572606214331,45,gini,best
356,0.7748890298034242,90,gini,best
104,0.7748890298034242,27,gini,best
68,0.7742549143944197,18,gini,best
240,0.7742549143944197,61,gini,best
156,0.7742549143944197,40,gini,best
144,0.7729866835764109,37,gini,best
232,0.7723525681674065,59,gini,best
332,0.771718452758402,84,gini,best
120,0.771718452758402,31,gini,best
384,0.771718452758402,97,gini,best
196,0.771718452758402,50,gini,best
352,0.771718452758402,89,gini,best
80,0.771718452758402,21,gini,best
44,0.7710843373493976,12,gini,best
48,0.7710843373493976,13,gini,best
304,0.7710843373493976,77,gini,best
364,0.7710843373493976,92,gini,best
268,0.7704502219403931,68,gini,best
40,0.7704502219403931,11,gini,best
132,0.7704502219403931,34,gini,best
136,0.7698161065313888,35,gini,best
64,0.7698161065313888,17,gini,best
180,0.7698161065313888,46,gini,best
188,0.7691819911223843,48,gini,best
312,0.7691819911223843,79,gini,best
360,0.7691819911223843,91,gini,best
340,0.7691819911223843,86,gini,best
324,0.7685478757133798,82,gini,best
160,0.7679137603043754,41,gini,best
152,0.7679137603043754,39,gini,best
184,0.7679137603043754,47,gini,best
280,0.7672796448953709,71,gini,best
88,0.7672796448953709,23,gini,best
252,0.7672796448953709,64,gini,best
208,0.7672796448953709,53,gini,best
52,0.7672796448953709,14,gini,best
380,0.7666455294863666,96,gini,best
368,0.7666455294863666,93,gini,best
96,0.7666455294863666,25,gini,best
292,0.7666455294863666,74,gini,best
