,accuracy,max_depth,criterion,splitter
27,0.9978354978354979,7,entropy,random
0,0.9956709956709957,1,gini,best
8,0.9956709956709957,3,gini,best
2,0.9956709956709957,1,entropy,best
10,0.9956709956709957,3,entropy,best
6,0.9956709956709957,2,entropy,best
12,0.9935064935064936,4,gini,best
9,0.9935064935064936,3,gini,random
4,0.9935064935064936,2,gini,best
21,0.9913419913419913,6,gini,random
20,0.9848484848484849,6,gini,best
32,0.9826839826839827,9,gini,best
159,0.9826839826839827,40,entropy,random
14,0.9826839826839827,4,entropy,best
31,0.9805194805194806,8,entropy,random
243,0.9805194805194806,61,entropy,random
173,0.9805194805194806,44,gini,random
22,0.9805194805194806,6,entropy,best
24,0.9805194805194806,7,gini,best
16,0.9805194805194806,5,gini,best
18,0.9805194805194806,5,entropy,best
15,0.9783549783549783,4,entropy,random
26,0.9783549783549783,7,entropy,best
28,0.9783549783549783,8,gini,best
61,0.9783549783549783,16,gini,random
19,0.9761904761904762,5,entropy,random
47,0.9761904761904762,12,entropy,random
275,0.9761904761904762,69,entropy,random
103,0.974025974025974,26,entropy,random
201,0.974025974025974,51,gini,random
123,0.974025974025974,31,entropy,random
35,0.974025974025974,9,entropy,random
86,0.974025974025974,22,entropy,best
181,0.974025974025974,46,gini,random
179,0.974025974025974,45,entropy,random
118,0.974025974025974,30,entropy,best
216,0.974025974025974,55,gini,best
85,0.974025974025974,22,gini,random
55,0.974025974025974,14,entropy,random
114,0.9718614718614719,29,entropy,best
293,0.9718614718614719,74,gini,random
78,0.9718614718614719,20,entropy,best
308,0.9718614718614719,78,gini,best
99,0.9718614718614719,25,entropy,random
310,0.9718614718614719,78,entropy,best
314,0.9718614718614719,79,entropy,best
89,0.9718614718614719,23,gini,random
326,0.9718614718614719,82,entropy,best
292,0.9718614718614719,74,gini,best
226,0.9718614718614719,57,entropy,best
286,0.9718614718614719,72,entropy,best
122,0.9718614718614719,31,entropy,best
280,0.9718614718614719,71,gini,best
276,0.9718614718614719,70,gini,best
134,0.9718614718614719,34,entropy,best
142,0.9718614718614719,36,entropy,best
255,0.9718614718614719,64,entropy,random
240,0.9718614718614719,61,gini,best
154,0.9718614718614719,39,entropy,best
344,0.9718614718614719,87,gini,best
166,0.9718614718614719,42,entropy,best
171,0.9718614718614719,43,entropy,random
176,0.9718614718614719,45,gini,best
182,0.9718614718614719,46,entropy,best
206,0.9718614718614719,52,entropy,best
342,0.9718614718614719,86,entropy,best
196,0.9718614718614719,50,gini,best
59,0.9718614718614719,15,entropy,random
