,accuracy,max_depth,criterion,splitter
10,0.9997429966589566,3,entropy,best
8,0.9994859933179131,3,gini,best
14,0.9989719866358263,4,entropy,best
12,0.9982009766126959,4,gini,best
18,0.9979439732716525,5,entropy,best
16,0.995887946543305,5,gini,best
20,0.9946029298380878,6,gini,best
22,0.9933179131328708,6,entropy,best
24,0.9910048830634798,7,gini,best
28,0.9879208429709586,8,gini,best
32,0.9843227961963505,9,gini,best
26,0.98278077615009,7,entropy,best
36,0.9789257260344384,10,gini,best
40,0.9763556926240041,11,gini,best
44,0.9740426625546132,12,gini,best
30,0.9730146491904395,8,entropy,best
48,0.9681315857106142,13,gini,best
52,0.9645335389360061,14,gini,best
34,0.9609354921613981,9,entropy,best
56,0.9581084554099203,15,gini,best
60,0.9568234387047032,16,gini,best
38,0.9534823952711385,10,entropy,best
64,0.9521973785659213,17,gini,best
274,0.947828321768183,69,entropy,best
68,0.9468003084040093,18,gini,best
218,0.9457722950398355,55,entropy,best
90,0.9455152916987921,23,entropy,best
386,0.9450012850167052,97,entropy,best
238,0.9450012850167052,60,entropy,best
114,0.9447442816756618,29,entropy,best
70,0.9447442816756618,18,entropy,best
134,0.9444872783346183,34,entropy,best
258,0.9444872783346183,65,entropy,best
226,0.9444872783346183,57,entropy,best
246,0.9442302749935749,62,entropy,best
194,0.9439732716525315,49,entropy,best
222,0.943716268311488,56,entropy,best
302,0.9434592649704446,76,entropy,best
206,0.9434592649704446,52,entropy,best
46,0.9432022616294011,12,entropy,best
166,0.9429452582883577,42,entropy,best
150,0.9429452582883577,38,entropy,best
142,0.9429452582883577,36,entropy,best
210,0.9429452582883577,53,entropy,best
54,0.9426882549473143,14,entropy,best
106,0.9424312516062708,27,entropy,best
50,0.9424312516062708,13,entropy,best
182,0.9421742482652274,46,entropy,best
234,0.9421742482652274,59,entropy,best
58,0.9421742482652274,15,entropy,best
334,0.9421742482652274,84,entropy,best
42,0.9421742482652274,11,entropy,best
366,0.9421742482652274,92,entropy,best
262,0.941917244924184,66,entropy,best
78,0.941917244924184,20,entropy,best
382,0.9416602415831405,96,entropy,best
298,0.9416602415831405,75,entropy,best
186,0.9414032382420972,47,entropy,best
358,0.9414032382420972,90,entropy,best
72,0.9411462349010538,19,gini,best
326,0.9411462349010538,82,entropy,best
110,0.9411462349010538,28,entropy,best
342,0.9411462349010538,86,entropy,best
254,0.9408892315600103,64,entropy,best
250,0.9408892315600103,63,entropy,best
346,0.9408892315600103,87,entropy,best
146,0.9408892315600103,37,entropy,best
198,0.9406322282189669,50,entropy,best
102,0.9406322282189669,26,entropy,best
126,0.9403752248779235,32,entropy,best
154,0.9403752248779235,39,entropy,best
162,0.9403752248779235,41,entropy,best
318,0.9403752248779235,80,entropy,best
338,0.9403752248779235,85,entropy,best
82,0.94011822153688,21,entropy,best
242,0.94011822153688,61,entropy,best
202,0.94011822153688,51,entropy,best
66,0.94011822153688,17,entropy,best
370,0.94011822153688,93,entropy,best
294,0.9398612181958366,74,entropy,best
306,0.9398612181958366,77,entropy,best
390,0.9396042148547931,98,entropy,best
286,0.9396042148547931,72,entropy,best
266,0.9396042148547931,67,entropy,best
190,0.9396042148547931,48,entropy,best
214,0.9393472115137497,54,entropy,best
174,0.9393472115137497,44,entropy,best
170,0.9390902081727063,43,entropy,best
178,0.9390902081727063,45,entropy,best
292,0.9390902081727063,74,gini,best
350,0.9388332048316628,88,entropy,best
378,0.9388332048316628,95,entropy,best
322,0.9388332048316628,81,entropy,best
310,0.9388332048316628,78,entropy,best
362,0.9385762014906194,91,entropy,best
394,0.9385762014906194,99,entropy,best
278,0.9385762014906194,70,entropy,best
290,0.9385762014906194,73,entropy,best
118,0.938319198149576,30,entropy,best
340,0.938319198149576,86,gini,best
158,0.938319198149576,40,entropy,best
130,0.938319198149576,33,entropy,best
282,0.9380621948085325,71,entropy,best
122,0.9380621948085325,31,entropy,best
62,0.9380621948085325,16,entropy,best
86,0.9375481881264457,22,entropy,best
374,0.9372911847854022,94,entropy,best
192,0.9372911847854022,49,gini,best
76,0.9370341814443588,20,gini,best
168,0.9370341814443588,43,gini,best
98,0.9370341814443588,25,entropy,best
