,accuracy,max_depth,criterion,splitter
18,0.990351215746816,5,entropy,best
22,0.983018139714396,6,entropy,best
26,0.9741412582014666,7,entropy,best
20,0.9648784253184098,6,gini,best
30,0.962948668467773,8,entropy,best
314,0.9583172520262447,79,entropy,best
294,0.9567734465457353,74,entropy,best
150,0.9556155924353531,38,entropy,best
370,0.9552296410652258,93,entropy,best
16,0.9552296410652258,5,gini,best
226,0.9540717869548437,57,entropy,best
50,0.9536858355847163,13,entropy,best
258,0.9536858355847163,65,entropy,best
32,0.9536858355847163,9,gini,best
28,0.953299884214589,8,gini,best
186,0.953299884214589,47,entropy,best
46,0.953299884214589,12,entropy,best
330,0.953299884214589,83,entropy,best
298,0.953299884214589,75,entropy,best
366,0.9529139328444616,92,entropy,best
114,0.9529139328444616,29,entropy,best
34,0.9529139328444616,9,entropy,best
146,0.9529139328444616,37,entropy,best
254,0.9525279814743343,64,entropy,best
138,0.9525279814743343,35,entropy,best
110,0.9521420301042068,28,entropy,best
106,0.9517560787340795,27,entropy,best
24,0.9517560787340795,7,gini,best
118,0.9513701273639521,30,entropy,best
326,0.9513701273639521,82,entropy,best
42,0.9513701273639521,11,entropy,best
178,0.9513701273639521,45,entropy,best
278,0.9513701273639521,70,entropy,best
386,0.9513701273639521,97,entropy,best
202,0.9509841759938248,51,entropy,best
62,0.9509841759938248,16,entropy,best
274,0.9509841759938248,69,entropy,best
74,0.9505982246236974,19,entropy,best
38,0.9505982246236974,10,entropy,best
390,0.9505982246236974,98,entropy,best
158,0.9505982246236974,40,entropy,best
310,0.9505982246236974,78,entropy,best
222,0.9505982246236974,56,entropy,best
66,0.95021227325357,17,entropy,best
306,0.9498263218834427,77,entropy,best
230,0.9498263218834427,58,entropy,best
350,0.9498263218834427,88,entropy,best
242,0.9498263218834427,61,entropy,best
70,0.9498263218834427,18,entropy,best
374,0.9498263218834427,94,entropy,best
78,0.9494403705133153,20,entropy,best
58,0.9494403705133153,15,entropy,best
210,0.9494403705133153,53,entropy,best
334,0.9494403705133153,84,entropy,best
170,0.9494403705133153,43,entropy,best
290,0.9494403705133153,73,entropy,best
142,0.9494403705133153,36,entropy,best
378,0.9494403705133153,95,entropy,best
130,0.9494403705133153,33,entropy,best
102,0.9494403705133153,26,entropy,best
238,0.949054419143188,60,entropy,best
190,0.949054419143188,48,entropy,best
286,0.949054419143188,72,entropy,best
322,0.949054419143188,81,entropy,best
246,0.949054419143188,62,entropy,best
134,0.9486684677730606,34,entropy,best
154,0.9486684677730606,39,entropy,best
90,0.9486684677730606,23,entropy,best
266,0.9486684677730606,67,entropy,best
214,0.9482825164029333,54,entropy,best
338,0.9482825164029333,85,entropy,best
234,0.9482825164029333,59,entropy,best
262,0.9478965650328058,66,entropy,best
346,0.9478965650328058,87,entropy,best
98,0.9478965650328058,25,entropy,best
82,0.9475106136626785,21,entropy,best
206,0.9475106136626785,52,entropy,best
198,0.9475106136626785,50,entropy,best
94,0.9475106136626785,24,entropy,best
126,0.9475106136626785,32,entropy,best
270,0.9475106136626785,68,entropy,best
358,0.9475106136626785,90,entropy,best
218,0.9475106136626785,55,entropy,best
166,0.9471246622925511,42,entropy,best
162,0.9471246622925511,41,entropy,best
394,0.9471246622925511,99,entropy,best
250,0.9471246622925511,63,entropy,best
362,0.9471246622925511,91,entropy,best
122,0.9471246622925511,31,entropy,best
318,0.9467387109224238,80,entropy,best
342,0.9467387109224238,86,entropy,best
282,0.9467387109224238,71,entropy,best
182,0.9467387109224238,46,entropy,best
194,0.945966808182169,49,entropy,best
398,0.945966808182169,100,entropy,best
174,0.9455808568120417,44,entropy,best
54,0.9455808568120417,14,entropy,best
86,0.9451949054419143,22,entropy,best
40,0.9451949054419143,11,gini,best
36,0.9451949054419143,10,gini,best
382,0.9451949054419143,96,entropy,best
302,0.9451949054419143,76,entropy,best
48,0.9413353917406406,13,gini,best
14,0.9413353917406406,4,entropy,best
354,0.9409494403705133,89,entropy,best
52,0.9386337321497491,14,gini,best
44,0.9378618294094944,12,gini,best
56,0.9351601698186028,15,gini,best
60,0.9309147047472018,16,gini,best
88,0.9262832883056735,23,gini,best
64,0.9258973369355461,17,gini,best
68,0.924739482825164,18,gini,best
236,0.9235816287147819,60,gini,best
92,0.9231956773446546,24,gini,best
368,0.9231956773446546,93,gini,best
212,0.9224237746043998,54,gini,best
380,0.9220378232342725,96,gini,best
356,0.9216518718641451,90,gini,best
144,0.9216518718641451,37,gini,best
332,0.9212659204940178,84,gini,best
276,0.9212659204940178,70,gini,best
112,0.9208799691238904,29,gini,best
72,0.9208799691238904,19,gini,best
132,0.9208799691238904,34,gini,best
96,0.9208799691238904,25,gini,best
136,0.920494017753763,35,gini,best
100,0.920494017753763,26,gini,best
196,0.920494017753763,50,gini,best
204,0.9201080663836356,52,gini,best
120,0.9201080663836356,31,gini,best
328,0.9197221150135083,83,gini,best
284,0.9197221150135083,72,gini,best
292,0.9197221150135083,74,gini,best
308,0.9193361636433809,78,gini,best
80,0.9189502122732536,21,gini,best
152,0.9185642609031262,39,gini,best
164,0.9185642609031262,42,gini,best
324,0.9185642609031262,82,gini,best
348,0.9181783095329988,88,gini,best
384,0.9177923581628715,97,gini,best
244,0.9177923581628715,62,gini,best
104,0.9174064067927441,27,gini,best
128,0.9174064067927441,33,gini,best
108,0.9174064067927441,28,gini,best
364,0.9174064067927441,92,gini,best
256,0.9170204554226168,65,gini,best
232,0.9170204554226168,59,gini,best
340,0.9166345040524894,86,gini,best
224,0.9166345040524894,57,gini,best
188,0.9166345040524894,48,gini,best
240,0.9166345040524894,61,gini,best
76,0.916248552682362,20,gini,best
396,0.916248552682362,100,gini,best
248,0.916248552682362,63,gini,best
252,0.9158626013122346,64,gini,best
12,0.9158626013122346,4,gini,best
352,0.9158626013122346,89,gini,best
272,0.9154766499421073,69,gini,best
216,0.9154766499421073,55,gini,best
372,0.9154766499421073,94,gini,best
228,0.9154766499421073,58,gini,best
296,0.9154766499421073,75,gini,best
168,0.9154766499421073,43,gini,best
260,0.9154766499421073,66,gini,best
176,0.9154766499421073,45,gini,best
156,0.9154766499421073,40,gini,best
304,0.9154766499421073,77,gini,best
200,0.9150906985719799,51,gini,best
172,0.9150906985719799,44,gini,best
388,0.9150906985719799,98,gini,best
312,0.9150906985719799,79,gini,best
392,0.9147047472018526,99,gini,best
