,accuracy,max_depth,criterion,splitter
34,0.7,9,entropy,best
38,0.694910941475827,10,entropy,best
338,0.6857506361323156,85,entropy,best
42,0.684732824427481,11,entropy,best
30,0.6844783715012722,8,entropy,best
238,0.6824427480916031,60,entropy,best
130,0.6796437659033079,33,entropy,best
274,0.6793893129770993,69,entropy,best
394,0.6791348600508906,99,entropy,best
206,0.6788804071246819,52,entropy,best
254,0.6786259541984733,64,entropy,best
218,0.6783715012722646,55,entropy,best
250,0.678117048346056,63,entropy,best
46,0.6776081424936387,12,entropy,best
146,0.6770992366412214,37,entropy,best
378,0.6770992366412214,95,entropy,best
362,0.6768447837150128,91,entropy,best
230,0.676590330788804,58,entropy,best
78,0.6760814249363868,20,entropy,best
298,0.6760814249363868,75,entropy,best
262,0.6758269720101782,66,entropy,best
158,0.6758269720101782,40,entropy,best
54,0.6753180661577608,14,entropy,best
106,0.6750636132315522,27,entropy,best
178,0.6750636132315522,45,entropy,best
258,0.6748091603053435,65,entropy,best
330,0.6748091603053435,83,entropy,best
294,0.6745547073791348,74,entropy,best
222,0.6745547073791348,56,entropy,best
354,0.6743002544529262,89,entropy,best
302,0.6743002544529262,76,entropy,best
326,0.6743002544529262,82,entropy,best
66,0.6740458015267176,17,entropy,best
214,0.6740458015267176,54,entropy,best
62,0.6737913486005089,16,entropy,best
350,0.6735368956743003,88,entropy,best
270,0.6735368956743003,68,entropy,best
102,0.6735368956743003,26,entropy,best
382,0.6732824427480916,96,entropy,best
386,0.6732824427480916,97,entropy,best
226,0.6730279898218829,57,entropy,best
374,0.6730279898218829,94,entropy,best
182,0.6730279898218829,46,entropy,best
74,0.6730279898218829,19,entropy,best
86,0.6727735368956743,22,entropy,best
194,0.6727735368956743,49,entropy,best
398,0.6727735368956743,100,entropy,best
114,0.6727735368956743,29,entropy,best
110,0.6725190839694657,28,entropy,best
390,0.6725190839694657,98,entropy,best
162,0.672264631043257,41,entropy,best
210,0.672264631043257,53,entropy,best
246,0.6720101781170483,62,entropy,best
50,0.6720101781170483,13,entropy,best
290,0.6720101781170483,73,entropy,best
94,0.6717557251908397,24,entropy,best
366,0.6717557251908397,92,entropy,best
134,0.6717557251908397,34,entropy,best
358,0.6715012722646311,90,entropy,best
150,0.6715012722646311,38,entropy,best
278,0.6715012722646311,70,entropy,best
334,0.6712468193384223,84,entropy,best
342,0.6712468193384223,86,entropy,best
306,0.6712468193384223,77,entropy,best
82,0.6712468193384223,21,entropy,best
138,0.6709923664122137,35,entropy,best
202,0.6707379134860051,51,entropy,best
174,0.6707379134860051,44,entropy,best
58,0.6704834605597965,15,entropy,best
286,0.6704834605597965,72,entropy,best
370,0.6704834605597965,93,entropy,best
346,0.6702290076335878,87,entropy,best
70,0.6702290076335878,18,entropy,best
122,0.6697201017811705,31,entropy,best
266,0.6697201017811705,67,entropy,best
98,0.6697201017811705,25,entropy,best
242,0.6694656488549618,61,entropy,best
90,0.6694656488549618,23,entropy,best
198,0.6694656488549618,50,entropy,best
322,0.6689567430025445,81,entropy,best
190,0.6687022900763359,48,entropy,best
318,0.6684478371501272,80,entropy,best
186,0.6684478371501272,47,entropy,best
166,0.6681933842239186,42,entropy,best
154,0.6679389312977099,39,entropy,best
282,0.6676844783715012,71,entropy,best
310,0.667175572519084,78,entropy,best
142,0.6669211195928754,36,entropy,best
314,0.666412213740458,79,entropy,best
170,0.6659033078880408,43,entropy,best
234,0.665648854961832,59,entropy,best
126,0.6653944020356234,32,entropy,best
118,0.6636132315521629,30,entropy,best
26,0.6597964376590331,7,entropy,best
32,0.6460559796437659,9,gini,best
36,0.6338422391857507,10,gini,best
28,0.6302798982188296,8,gini,best
60,0.6274809160305344,16,gini,best
44,0.6267175572519084,12,gini,best
40,0.6264631043256997,11,gini,best
68,0.6244274809160305,18,gini,best
384,0.6231552162849873,97,gini,best
92,0.6229007633587786,24,gini,best
48,0.6216284987277354,13,gini,best
328,0.6213740458015267,83,gini,best
52,0.6213740458015267,14,gini,best
56,0.6213740458015267,15,gini,best
388,0.621119592875318,98,gini,best
352,0.621119592875318,89,gini,best
140,0.6206106870229008,36,gini,best
280,0.6203562340966922,71,gini,best
64,0.6198473282442748,17,gini,best
272,0.6188295165394402,69,gini,best
288,0.6183206106870229,73,gini,best
116,0.6180661577608142,30,gini,best
356,0.6178117048346056,90,gini,best
22,0.6178117048346056,6,entropy,best
332,0.6178117048346056,84,gini,best
260,0.6175572519083969,66,gini,best
204,0.6173027989821883,52,gini,best
232,0.6173027989821883,59,gini,best
180,0.6170483460559797,46,gini,best
256,0.616793893129771,65,gini,best
76,0.6165394402035623,20,gini,best
184,0.6165394402035623,47,gini,best
