,accuracy,max_depth,criteria,splitter
0,1.0,1,gini,best
2,1.0,1,entropy,best
6,1.0,2,entropy,best
10,1.0,3,entropy,best
4,0.9993769470404984,2,gini,best
8,0.9993769470404984,3,gini,best
14,0.9993769470404984,4,entropy,best
18,0.9981308411214953,5,entropy,best
12,0.9962616822429906,4,gini,best
16,0.9956386292834891,5,gini,best
20,0.9950155763239875,6,gini,best
24,0.9937694704049844,7,gini,best
28,0.9931464174454828,8,gini,best
32,0.9912772585669782,9,gini,best
36,0.9909657320872274,10,gini,best
40,0.990031152647975,11,gini,best
44,0.9894080996884735,12,gini,best
27,0.9881619937694704,7,entropy,random
48,0.9878504672897196,13,gini,best
52,0.9853582554517134,14,gini,best
41,0.9844236760124611,11,gini,random
22,0.9834890965732087,6,entropy,best
64,0.9828660436137072,17,gini,best
56,0.9828660436137072,15,gini,best
68,0.9819314641744549,18,gini,best
37,0.9809968847352025,10,gini,random
60,0.9800623052959502,16,gini,best
72,0.9775700934579439,19,gini,best
84,0.9763239875389408,22,gini,best
80,0.9744548286604361,21,gini,best
76,0.9735202492211839,20,gini,best
33,0.9735202492211839,9,gini,random
26,0.9716510903426792,7,entropy,best
45,0.9710280373831776,12,gini,random
88,0.9707165109034268,23,gini,best
31,0.9694704049844237,8,entropy,random
100,0.9694704049844237,26,gini,best
96,0.9691588785046729,25,gini,best
15,0.9688473520249221,4,entropy,random
108,0.9685358255451714,28,gini,best
81,0.9685358255451714,21,gini,random
112,0.967601246105919,29,gini,best
35,0.9660436137071651,9,entropy,random
92,0.9657320872274143,24,gini,best
17,0.9651090342679127,5,gini,random
346,0.9632398753894081,87,entropy,best
53,0.9613707165109034,14,gini,random
278,0.9613707165109034,70,entropy,best
19,0.9610591900311527,5,entropy,random
234,0.9607476635514018,59,entropy,best
57,0.9604361370716511,15,gini,random
66,0.9604361370716511,17,entropy,best
398,0.9601246105919004,100,entropy,best
302,0.9601246105919004,76,entropy,best
214,0.9598130841121495,54,entropy,best
226,0.9598130841121495,57,entropy,best
162,0.9598130841121495,41,entropy,best
390,0.9598130841121495,98,entropy,best
298,0.9595015576323987,75,entropy,best
106,0.9595015576323987,27,entropy,best
122,0.9595015576323987,31,entropy,best
330,0.9595015576323987,83,entropy,best
42,0.9595015576323987,11,entropy,best
334,0.9595015576323987,84,entropy,best
104,0.959190031152648,27,gini,best
194,0.959190031152648,49,entropy,best
34,0.959190031152648,9,entropy,best
70,0.9588785046728971,18,entropy,best
128,0.9588785046728971,33,gini,best
150,0.9588785046728971,38,entropy,best
114,0.9588785046728971,29,entropy,best
61,0.9585669781931464,16,gini,random
270,0.9585669781931464,68,entropy,best
116,0.9585669781931464,30,gini,best
262,0.9585669781931464,66,entropy,best
38,0.9582554517133957,10,entropy,best
382,0.9582554517133957,96,entropy,best
322,0.9579439252336449,81,entropy,best
118,0.9579439252336449,30,entropy,best
62,0.9579439252336449,16,entropy,best
30,0.957632398753894,8,entropy,best
274,0.957632398753894,69,entropy,best
120,0.957632398753894,31,gini,best
82,0.957632398753894,21,entropy,best
78,0.957632398753894,20,entropy,best
46,0.957632398753894,12,entropy,best
230,0.957632398753894,58,entropy,best
198,0.9573208722741433,50,entropy,best
158,0.9573208722741433,40,entropy,best
282,0.9570093457943926,71,entropy,best
354,0.9570093457943926,89,entropy,best
50,0.9566978193146417,13,entropy,best
134,0.9566978193146417,34,entropy,best
130,0.9566978193146417,33,entropy,best
110,0.9566978193146417,28,entropy,best
222,0.9566978193146417,56,entropy,best
294,0.9566978193146417,74,entropy,best
250,0.956386292834891,63,entropy,best
370,0.956386292834891,93,entropy,best
374,0.956386292834891,94,entropy,best
238,0.956386292834891,60,entropy,best
290,0.9560747663551402,73,entropy,best
49,0.9560747663551402,13,gini,random
210,0.9560747663551402,53,entropy,best
310,0.9557632398753894,78,entropy,best
286,0.9557632398753894,72,entropy,best
102,0.9554517133956386,26,entropy,best
191,0.9551401869158879,48,entropy,random
174,0.9551401869158879,44,entropy,best
146,0.9548286604361371,37,entropy,best
366,0.9548286604361371,92,entropy,best
138,0.9548286604361371,35,entropy,best
182,0.9548286604361371,46,entropy,best
342,0.9548286604361371,86,entropy,best
318,0.9545171339563863,80,entropy,best
90,0.9545171339563863,23,entropy,best
186,0.9545171339563863,47,entropy,best
338,0.9545171339563863,85,entropy,best
126,0.9542056074766355,32,entropy,best
306,0.9542056074766355,77,entropy,best
142,0.9542056074766355,36,entropy,best
314,0.9542056074766355,79,entropy,best
254,0.9542056074766355,64,entropy,best
54,0.9542056074766355,14,entropy,best
358,0.9542056074766355,90,entropy,best
275,0.9538940809968848,69,entropy,random
218,0.9538940809968848,55,entropy,best
132,0.9535825545171339,34,gini,best
86,0.9535825545171339,22,entropy,best
362,0.9535825545171339,91,entropy,best
190,0.9535825545171339,48,entropy,best
258,0.9535825545171339,65,entropy,best
58,0.9532710280373832,15,entropy,best
386,0.9529595015576324,97,entropy,best
124,0.9529595015576324,32,gini,best
136,0.9529595015576324,35,gini,best
246,0.9529595015576324,62,entropy,best
74,0.9526479750778816,19,entropy,best
47,0.9526479750778816,12,entropy,random
202,0.9526479750778816,51,entropy,best
94,0.9523364485981308,24,entropy,best
98,0.9523364485981308,25,entropy,best
247,0.9520249221183801,62,entropy,random
350,0.9520249221183801,88,entropy,best
69,0.9520249221183801,18,gini,random
206,0.9517133956386293,52,entropy,best
166,0.9517133956386293,42,entropy,best
242,0.9517133956386293,61,entropy,best
266,0.9514018691588785,67,entropy,best
170,0.9514018691588785,43,entropy,best
378,0.9510903426791277,95,entropy,best
267,0.9504672897196261,67,entropy,random
394,0.9504672897196261,99,entropy,best
178,0.9504672897196261,45,entropy,best
121,0.9501557632398754,31,gini,random
251,0.949221183800623,63,entropy,random
339,0.949221183800623,85,entropy,random
326,0.9489096573208723,82,entropy,best
347,0.9489096573208723,87,entropy,random
243,0.9489096573208723,61,entropy,random
154,0.9489096573208723,39,entropy,best
73,0.9485981308411215,19,gini,random
163,0.9485981308411215,41,entropy,random
113,0.9485981308411215,29,gini,random
397,0.9485981308411215,100,gini,random
144,0.9479750778816199,37,gini,best
139,0.9476635514018692,35,entropy,random
273,0.9476635514018692,69,gini,random
373,0.9476635514018692,94,gini,random
140,0.9473520249221183,36,gini,best
391,0.9470404984423676,98,entropy,random
299,0.9467289719626168,75,entropy,random
193,0.946417445482866,49,gini,random
369,0.946417445482866,93,gini,random
148,0.946417445482866,38,gini,best
297,0.9461059190031152,75,gini,random
221,0.9461059190031152,56,gini,random
153,0.9461059190031152,39,gini,random
91,0.9454828660436138,23,entropy,random
287,0.9454828660436138,72,entropy,random
119,0.9454828660436138,30,entropy,random
281,0.9451713395638629,71,gini,random
185,0.9448598130841122,47,gini,random
325,0.9448598130841122,82,gini,random
115,0.9448598130841122,29,entropy,random
152,0.9448598130841122,39,gini,best
213,0.9445482866043614,54,gini,random
335,0.9445482866043614,84,entropy,random
371,0.9442367601246106,93,entropy,random
331,0.9442367601246106,83,entropy,random
93,0.9439252336448598,24,gini,random
77,0.9439252336448598,20,gini,random
143,0.9436137071651091,36,entropy,random
177,0.9436137071651091,45,gini,random
71,0.9436137071651091,18,entropy,random
157,0.9436137071651091,40,gini,random
39,0.9433021806853582,10,entropy,random
215,0.9433021806853582,54,entropy,random
375,0.9433021806853582,94,entropy,random
225,0.9433021806853582,57,gini,random
235,0.9433021806853582,59,entropy,random
111,0.9429906542056075,28,entropy,random
189,0.9429906542056075,48,gini,random
63,0.9429906542056075,16,entropy,random
233,0.9429906542056075,59,gini,random
257,0.9426791277258567,65,gini,random
259,0.9426791277258567,65,entropy,random
137,0.9426791277258567,35,gini,random
381,0.942367601246106,96,gini,random
308,0.942367601246106,78,gini,best
145,0.942367601246106,37,gini,random
241,0.942367601246106,61,gini,random
159,0.942367601246106,40,entropy,random
212,0.9420560747663551,54,gini,best
156,0.9417445482866044,40,gini,best
329,0.9417445482866044,83,gini,random
341,0.9417445482866044,86,gini,random
396,0.9417445482866044,100,gini,best
253,0.9417445482866044,64,gini,random
103,0.9414330218068536,26,entropy,random
175,0.9414330218068536,44,entropy,random
351,0.9414330218068536,88,entropy,random
197,0.9414330218068536,50,gini,random
217,0.9414330218068536,55,gini,random
160,0.9411214953271028,41,gini,best
216,0.9411214953271028,55,gini,best
179,0.9411214953271028,45,entropy,random
188,0.9411214953271028,48,gini,best
165,0.9411214953271028,42,gini,random
252,0.940809968847352,64,gini,best
151,0.940809968847352,38,entropy,random
117,0.940809968847352,30,gini,random
173,0.940809968847352,44,gini,random
83,0.940809968847352,21,entropy,random
353,0.940809968847352,89,gini,random
289,0.940809968847352,73,gini,random
229,0.940809968847352,58,gini,random
87,0.9404984423676013,22,entropy,random
51,0.9404984423676013,13,entropy,random
364,0.9404984423676013,92,gini,best
265,0.9401869158878504,67,gini,random
383,0.9401869158878504,96,entropy,random
237,0.9401869158878504,60,gini,random
393,0.9401869158878504,99,gini,random
385,0.9401869158878504,97,gini,random
359,0.9401869158878504,90,entropy,random
315,0.9398753894080997,79,entropy,random
187,0.9398753894080997,47,entropy,random
307,0.9398753894080997,77,entropy,random
75,0.9398753894080997,19,entropy,random
357,0.9398753894080997,90,gini,random
277,0.9395638629283489,70,gini,random
101,0.9395638629283489,26,gini,random
268,0.9395638629283489,68,gini,best
85,0.9395638629283489,22,gini,random
55,0.9395638629283489,14,entropy,random
196,0.9395638629283489,50,gini,best
13,0.9395638629283489,4,gini,random
355,0.9392523364485982,89,entropy,random
239,0.9392523364485982,60,entropy,random
317,0.9392523364485982,80,gini,random
240,0.9392523364485982,61,gini,best
147,0.9392523364485982,37,entropy,random
380,0.9389408099688473,96,gini,best
372,0.9389408099688473,94,gini,best
164,0.9389408099688473,42,gini,best
105,0.9389408099688473,27,gini,random
363,0.9389408099688473,91,entropy,random
368,0.9389408099688473,93,gini,best
388,0.9389408099688473,98,gini,best
180,0.9389408099688473,46,gini,best
192,0.9389408099688473,49,gini,best
223,0.9386292834890966,56,entropy,random
377,0.9386292834890966,95,gini,random
352,0.9386292834890966,89,gini,best
176,0.9386292834890966,45,gini,best
279,0.9386292834890966,70,entropy,random
285,0.9383177570093458,72,gini,random
195,0.9383177570093458,49,entropy,random
349,0.9383177570093458,88,gini,random
263,0.9383177570093458,66,entropy,random
348,0.938006230529595,88,gini,best
201,0.938006230529595,51,gini,random
332,0.938006230529595,84,gini,best
292,0.938006230529595,74,gini,best
260,0.938006230529595,66,gini,best
321,0.938006230529595,81,gini,random
272,0.938006230529595,69,gini,best
133,0.938006230529595,34,gini,random
