,accuracy,max_depth,criterion,splitter
10,0.9988962472406181,3,entropy,best
14,0.9972406181015453,4,entropy,best
8,0.9922737306843267,3,gini,best
12,0.9873068432671082,4,gini,best
16,0.9856512141280354,5,gini,best
20,0.9828918322295805,6,gini,best
24,0.9817880794701986,7,gini,best
18,0.9817880794701986,5,entropy,best
22,0.9751655629139073,6,entropy,best
28,0.9724061810154525,8,gini,best
40,0.9718543046357616,11,gini,best
32,0.9707505518763797,9,gini,best
48,0.9685430463576159,13,gini,best
36,0.967439293598234,10,gini,best
44,0.967439293598234,12,gini,best
52,0.9663355408388521,14,gini,best
30,0.9630242825607064,8,entropy,best
6,0.9624724061810155,2,entropy,best
64,0.9613686534216336,17,gini,best
4,0.9613686534216336,2,gini,best
56,0.9602649006622517,15,gini,best
68,0.9597130242825607,18,gini,best
60,0.9597130242825607,16,gini,best
26,0.9580573951434879,7,entropy,best
34,0.9575055187637969,9,entropy,best
72,0.9575055187637969,19,gini,best
80,0.9519867549668874,21,gini,best
244,0.9514348785871964,62,gini,best
54,0.9503311258278145,14,entropy,best
288,0.9497792494481236,73,gini,best
240,0.9497792494481236,61,gini,best
340,0.9486754966887417,86,gini,best
360,0.9481236203090507,91,gini,best
220,0.9481236203090507,56,gini,best
332,0.9475717439293598,84,gini,best
300,0.9475717439293598,76,gini,best
38,0.9475717439293598,10,entropy,best
172,0.9470198675496688,44,gini,best
198,0.9464679911699779,50,entropy,best
190,0.9464679911699779,48,entropy,best
292,0.9464679911699779,74,gini,best
232,0.9464679911699779,59,gini,best
346,0.9464679911699779,87,entropy,best
290,0.9464679911699779,73,entropy,best
118,0.9464679911699779,30,entropy,best
306,0.9464679911699779,77,entropy,best
134,0.9459161147902869,34,entropy,best
164,0.9459161147902869,42,gini,best
384,0.9459161147902869,97,gini,best
254,0.9459161147902869,64,entropy,best
76,0.9459161147902869,20,gini,best
304,0.945364238410596,77,gini,best
316,0.945364238410596,80,gini,best
298,0.945364238410596,75,entropy,best
128,0.945364238410596,33,gini,best
228,0.9448123620309051,58,gini,best
196,0.9448123620309051,50,gini,best
390,0.9448123620309051,98,entropy,best
256,0.9448123620309051,65,gini,best
104,0.9448123620309051,27,gini,best
270,0.9442604856512141,68,entropy,best
248,0.9442604856512141,63,gini,best
236,0.9442604856512141,60,gini,best
140,0.9442604856512141,36,gini,best
368,0.9437086092715232,93,gini,best
364,0.9437086092715232,92,gini,best
396,0.9437086092715232,100,gini,best
308,0.9437086092715232,78,gini,best
204,0.9437086092715232,52,gini,best
88,0.9431567328918322,23,gini,best
214,0.9431567328918322,54,entropy,best
182,0.9431567328918322,46,entropy,best
388,0.9431567328918322,98,gini,best
108,0.9426048565121413,28,gini,best
156,0.9426048565121413,40,gini,best
318,0.9426048565121413,80,entropy,best
212,0.9426048565121413,54,gini,best
84,0.9426048565121413,22,gini,best
380,0.9426048565121413,96,gini,best
324,0.9426048565121413,82,gini,best
242,0.9426048565121413,61,entropy,best
336,0.9426048565121413,85,gini,best
92,0.9420529801324503,24,gini,best
230,0.9420529801324503,58,entropy,best
350,0.9420529801324503,88,entropy,best
94,0.9420529801324503,24,entropy,best
224,0.9420529801324503,57,gini,best
116,0.9420529801324503,30,gini,best
142,0.9420529801324503,36,entropy,best
374,0.9420529801324503,94,entropy,best
342,0.9420529801324503,86,entropy,best
154,0.9415011037527594,39,entropy,best
382,0.9415011037527594,96,entropy,best
266,0.9415011037527594,67,entropy,best
152,0.9415011037527594,39,gini,best
162,0.9415011037527594,41,entropy,best
286,0.9415011037527594,72,entropy,best
148,0.9415011037527594,38,gini,best
312,0.9415011037527594,79,gini,best
260,0.9415011037527594,66,gini,best
62,0.9415011037527594,16,entropy,best
130,0.9409492273730684,33,entropy,best
112,0.9409492273730684,29,gini,best
282,0.9409492273730684,71,entropy,best
352,0.9409492273730684,89,gini,best
146,0.9409492273730684,37,entropy,best
334,0.9409492273730684,84,entropy,best
358,0.9409492273730684,90,entropy,best
166,0.9409492273730684,42,entropy,best
184,0.9409492273730684,47,gini,best
280,0.9403973509933775,71,gini,best
344,0.9403973509933775,87,gini,best
160,0.9403973509933775,41,gini,best
276,0.9398454746136865,70,gini,best
268,0.9398454746136865,68,gini,best
132,0.9398454746136865,34,gini,best
42,0.9398454746136865,11,entropy,best
136,0.9398454746136865,35,gini,best
208,0.9398454746136865,53,gini,best
144,0.9398454746136865,37,gini,best
66,0.9398454746136865,17,entropy,best
174,0.9392935982339956,44,entropy,best
226,0.9392935982339956,57,entropy,best
320,0.9392935982339956,81,gini,best
376,0.9392935982339956,95,gini,best
96,0.9392935982339956,25,gini,best
284,0.9392935982339956,72,gini,best
98,0.9392935982339956,25,entropy,best
102,0.9392935982339956,26,entropy,best
366,0.9387417218543046,92,entropy,best
398,0.9387417218543046,100,entropy,best
272,0.9387417218543046,69,gini,best
328,0.9387417218543046,83,gini,best
110,0.9387417218543046,28,entropy,best
278,0.9387417218543046,70,entropy,best
192,0.9381898454746137,49,gini,best
100,0.9381898454746137,26,gini,best
188,0.9381898454746137,48,gini,best
82,0.9381898454746137,21,entropy,best
392,0.9381898454746137,99,gini,best
310,0.9376379690949227,78,entropy,best
206,0.9376379690949227,52,entropy,best
216,0.9376379690949227,55,gini,best
246,0.9376379690949227,62,entropy,best
186,0.9376379690949227,47,entropy,best
274,0.9376379690949227,69,entropy,best
180,0.9376379690949227,46,gini,best
296,0.9376379690949227,75,gini,best
250,0.9376379690949227,63,entropy,best
178,0.9376379690949227,45,entropy,best
176,0.9376379690949227,45,gini,best
222,0.9376379690949227,56,entropy,best
120,0.9376379690949227,31,gini,best
70,0.9370860927152318,18,entropy,best
322,0.9370860927152318,81,entropy,best
258,0.9370860927152318,65,entropy,best
114,0.9370860927152318,29,entropy,best
302,0.9365342163355408,76,entropy,best
200,0.9365342163355408,51,gini,best
264,0.9365342163355408,67,gini,best
86,0.9365342163355408,22,entropy,best
372,0.9365342163355408,94,gini,best
218,0.9359823399558499,55,entropy,best
238,0.9359823399558499,60,entropy,best
252,0.9359823399558499,64,gini,best
348,0.9359823399558499,88,gini,best
171,0.9354304635761589,43,entropy,random
58,0.9354304635761589,15,entropy,best
194,0.9354304635761589,49,entropy,best
46,0.9354304635761589,12,entropy,best
168,0.9354304635761589,43,gini,best
124,0.9354304635761589,32,gini,best
158,0.934878587196468,40,entropy,best
356,0.934878587196468,90,gini,best
294,0.934878587196468,74,entropy,best
50,0.934878587196468,13,entropy,best
90,0.9343267108167771,23,entropy,best
326,0.9343267108167771,82,entropy,best
386,0.9343267108167771,97,entropy,best
338,0.9343267108167771,85,entropy,best
362,0.9343267108167771,91,entropy,best
354,0.9337748344370861,89,entropy,best
106,0.9337748344370861,27,entropy,best
122,0.9337748344370861,31,entropy,best
74,0.9337748344370861,19,entropy,best
170,0.9332229580573952,43,entropy,best
262,0.9332229580573952,66,entropy,best
393,0.9332229580573952,99,gini,random
370,0.9332229580573952,93,entropy,best
105,0.9326710816777042,27,gini,random
234,0.9321192052980133,59,entropy,best
202,0.9315673289183223,51,entropy,best
394,0.9315673289183223,99,entropy,best
78,0.9310154525386314,20,entropy,best
150,0.9304635761589404,38,entropy,best
378,0.9304635761589404,95,entropy,best
314,0.9304635761589404,79,entropy,best
210,0.9288079470198676,53,entropy,best
95,0.9282560706401766,24,entropy,random
330,0.9266004415011038,83,entropy,best
197,0.9266004415011038,50,gini,random
255,0.9266004415011038,64,entropy,random
231,0.9266004415011038,58,entropy,random
138,0.9254966887417219,35,entropy,best
325,0.9249448123620309,82,gini,random
179,0.9238410596026491,45,entropy,random
177,0.9238410596026491,45,gini,random
161,0.923289183222958,41,gini,random
51,0.9227373068432672,13,entropy,random
315,0.9216335540838853,79,entropy,random
43,0.9216335540838853,11,entropy,random
241,0.9216335540838853,61,gini,random
126,0.9210816777041942,32,entropy,best
185,0.9194260485651214,47,gini,random
389,0.9194260485651214,98,gini,random
345,0.9188741721854304,87,gini,random
347,0.9183222958057395,87,entropy,random
335,0.9172185430463576,84,entropy,random
207,0.9166666666666666,52,entropy,random
293,0.9161147902869757,74,gini,random
375,0.9155629139072847,94,entropy,random
175,0.9155629139072847,44,entropy,random
187,0.9155629139072847,47,entropy,random
153,0.9144591611479028,39,gini,random
165,0.9139072847682119,42,gini,random
23,0.9139072847682119,6,entropy,random
215,0.9133554083885209,54,entropy,random
