,accuracy,max_depth,criterion,splitter
0,0.999195171026157,1,gini,best
2,0.999195171026157,1,entropy,best
6,0.999195171026157,2,entropy,best
10,0.999195171026157,3,entropy,best
14,0.9983903420523139,4,entropy,best
4,0.9983903420523139,2,gini,best
8,0.9971830985915493,3,gini,best
12,0.9971830985915493,4,gini,best
16,0.9955734406438632,5,gini,best
20,0.9927565392354125,6,gini,best
18,0.9919517102615694,5,entropy,best
19,0.9915492957746479,5,entropy,random
24,0.9903420523138833,7,gini,best
32,0.9887323943661972,9,gini,best
33,0.9879275653923542,9,gini,random
22,0.9851106639839035,6,entropy,best
37,0.9847082494969819,10,gini,random
36,0.9843058350100604,10,gini,best
28,0.9839034205231388,8,gini,best
40,0.979476861167002,11,gini,best
44,0.9754527162977867,12,gini,best
31,0.9746478873239437,8,entropy,random
45,0.9738430583501007,12,gini,random
25,0.9730382293762575,7,gini,random
35,0.9730382293762575,9,entropy,random
7,0.9714285714285714,2,entropy,random
56,0.9714285714285714,15,gini,best
52,0.9702213279678068,14,gini,best
48,0.9702213279678068,13,gini,best
47,0.9698189134808853,12,entropy,random
49,0.9694164989939638,13,gini,random
26,0.9690140845070423,7,entropy,best
64,0.9674044265593561,17,gini,best
30,0.9645875251509054,8,entropy,best
60,0.9645875251509054,16,gini,best
29,0.9637826961770624,8,gini,random
27,0.9633802816901409,7,entropy,random
34,0.9625754527162977,9,entropy,best
68,0.958953722334004,18,gini,best
72,0.958953722334004,19,gini,best
80,0.9577464788732394,21,gini,best
39,0.9573440643863179,10,entropy,random
53,0.9569416498993963,14,gini,random
337,0.9569416498993963,85,gini,random
13,0.9565392354124749,4,gini,random
76,0.9565392354124749,20,gini,best
63,0.9549295774647887,16,entropy,random
77,0.9545271629778672,20,gini,random
135,0.9541247484909456,34,entropy,random
342,0.9529175050301811,86,entropy,best
89,0.9525150905432596,23,gini,random
215,0.9525150905432596,54,entropy,random
370,0.952112676056338,93,entropy,best
218,0.9517102615694165,55,entropy,best
203,0.9517102615694165,51,entropy,random
38,0.9513078470824949,10,entropy,best
138,0.9513078470824949,35,entropy,best
111,0.9505030181086519,28,entropy,random
355,0.9505030181086519,89,entropy,random
222,0.9501006036217304,56,entropy,best
331,0.9501006036217304,83,entropy,random
249,0.9496981891348089,63,gini,random
43,0.9496981891348089,11,entropy,random
243,0.9492957746478873,61,entropy,random
58,0.9492957746478873,15,entropy,best
84,0.9492957746478873,22,gini,best
262,0.9492957746478873,66,entropy,best
127,0.9484909456740442,32,entropy,random
202,0.9484909456740442,51,entropy,best
238,0.9480885311871228,60,entropy,best
334,0.9476861167002012,84,entropy,best
165,0.9476861167002012,42,gini,random
381,0.9476861167002012,96,gini,random
273,0.9476861167002012,69,gini,random
319,0.9476861167002012,80,entropy,random
313,0.9472837022132797,79,gini,random
341,0.9472837022132797,86,gini,random
179,0.9472837022132797,45,entropy,random
321,0.9472837022132797,81,gini,random
354,0.9468812877263582,89,entropy,best
350,0.9468812877263582,88,entropy,best
150,0.9468812877263582,38,entropy,best
186,0.9468812877263582,47,entropy,best
366,0.9468812877263582,92,entropy,best
205,0.9468812877263582,52,gini,random
281,0.9468812877263582,71,gini,random
258,0.9468812877263582,65,entropy,best
171,0.9464788732394366,43,entropy,random
57,0.9464788732394366,15,gini,random
141,0.9464788732394366,36,gini,random
115,0.9464788732394366,29,entropy,random
113,0.9464788732394366,29,gini,random
153,0.9464788732394366,39,gini,random
110,0.9464788732394366,28,entropy,best
122,0.9464788732394366,31,entropy,best
358,0.9464788732394366,90,entropy,best
239,0.9464788732394366,60,entropy,random
286,0.9460764587525151,72,entropy,best
231,0.9460764587525151,58,entropy,random
142,0.9460764587525151,36,entropy,best
266,0.9460764587525151,67,entropy,best
114,0.9460764587525151,29,entropy,best
282,0.9460764587525151,71,entropy,best
170,0.9456740442655935,43,entropy,best
98,0.9456740442655935,25,entropy,best
178,0.9452716297786721,45,entropy,best
213,0.9452716297786721,54,gini,random
339,0.9452716297786721,85,entropy,random
66,0.9448692152917505,17,entropy,best
162,0.9448692152917505,41,entropy,best
214,0.9448692152917505,54,entropy,best
67,0.9448692152917505,17,entropy,random
274,0.9448692152917505,69,entropy,best
375,0.9448692152917505,94,entropy,random
347,0.9448692152917505,87,entropy,random
241,0.9448692152917505,61,gini,random
161,0.9444668008048289,41,gini,random
159,0.9444668008048289,40,entropy,random
310,0.9444668008048289,78,entropy,best
357,0.9444668008048289,90,gini,random
126,0.9444668008048289,32,entropy,best
93,0.9444668008048289,24,gini,random
82,0.9440643863179075,21,entropy,best
359,0.9440643863179075,90,entropy,random
362,0.9440643863179075,91,entropy,best
221,0.9440643863179075,56,gini,random
51,0.9440643863179075,13,entropy,random
50,0.9440643863179075,13,entropy,best
46,0.9440643863179075,12,entropy,best
356,0.9440643863179075,90,gini,best
166,0.9440643863179075,42,entropy,best
55,0.9440643863179075,14,entropy,random
290,0.9440643863179075,73,entropy,best
330,0.9440643863179075,83,entropy,best
117,0.9436619718309859,30,gini,random
61,0.9436619718309859,16,gini,random
288,0.9436619718309859,73,gini,best
99,0.9436619718309859,25,entropy,random
230,0.9436619718309859,58,entropy,best
70,0.9436619718309859,18,entropy,best
103,0.9436619718309859,26,entropy,random
371,0.9436619718309859,93,entropy,random
78,0.9436619718309859,20,entropy,best
246,0.9436619718309859,62,entropy,best
333,0.9432595573440644,84,gini,random
88,0.9432595573440644,23,gini,best
182,0.9432595573440644,46,entropy,best
158,0.9432595573440644,40,entropy,best
96,0.9432595573440644,25,gini,best
198,0.9432595573440644,50,entropy,best
81,0.9432595573440644,21,gini,random
394,0.9432595573440644,99,entropy,best
102,0.9428571428571428,26,entropy,best
374,0.9428571428571428,94,entropy,best
174,0.9428571428571428,44,entropy,best
154,0.9428571428571428,39,entropy,best
389,0.9428571428571428,98,gini,random
86,0.9428571428571428,22,entropy,best
