,accuracy,max_depth,criteria,splitter
26,0.8436627582356225,7,entropy,best
30,0.8291457286432161,8,entropy,best
22,0.8263539921831379,6,entropy,best
290,0.8257956448911222,73,entropy,best
38,0.8207705192629816,10,entropy,best
302,0.8207705192629816,76,entropy,best
246,0.820212171970966,62,entropy,best
162,0.820212171970966,41,entropy,best
34,0.8190954773869347,9,entropy,best
58,0.818537130094919,15,entropy,best
194,0.8179787828029034,49,entropy,best
250,0.8179787828029034,63,entropy,best
358,0.8174204355108877,90,entropy,best
24,0.8174204355108877,7,gini,best
118,0.8168620882188722,30,entropy,best
170,0.8163037409268565,43,entropy,best
318,0.8157453936348409,80,entropy,best
86,0.8151870463428252,22,entropy,best
142,0.8151870463428252,36,entropy,best
366,0.8146286990508096,92,entropy,best
158,0.8146286990508096,40,entropy,best
282,0.8140703517587939,71,entropy,best
102,0.8135120044667783,26,entropy,best
230,0.8123953098827471,58,entropy,best
130,0.8123953098827471,33,entropy,best
258,0.8123953098827471,65,entropy,best
386,0.8123953098827471,97,entropy,best
222,0.8118369625907315,56,entropy,best
322,0.8118369625907315,81,entropy,best
374,0.8118369625907315,94,entropy,best
370,0.8107202680067002,93,entropy,best
146,0.8101619207146845,37,entropy,best
338,0.8096035734226689,85,entropy,best
226,0.8096035734226689,57,entropy,best
190,0.8096035734226689,48,entropy,best
106,0.8090452261306532,27,entropy,best
286,0.8090452261306532,72,entropy,best
218,0.8090452261306532,55,entropy,best
270,0.8084868788386377,68,entropy,best
78,0.8084868788386377,20,entropy,best
278,0.807928531546622,70,entropy,best
150,0.807928531546622,38,entropy,best
238,0.8073701842546064,60,entropy,best
114,0.8073701842546064,29,entropy,best
50,0.8073701842546064,13,entropy,best
394,0.8068118369625907,99,entropy,best
398,0.8068118369625907,100,entropy,best
134,0.8068118369625907,34,entropy,best
198,0.8068118369625907,50,entropy,best
138,0.8062534896705751,35,entropy,best
234,0.8062534896705751,59,entropy,best
54,0.8062534896705751,14,entropy,best
42,0.8062534896705751,11,entropy,best
210,0.8062534896705751,53,entropy,best
362,0.8056951423785594,91,entropy,best
98,0.8056951423785594,25,entropy,best
110,0.8056951423785594,28,entropy,best
206,0.8056951423785594,52,entropy,best
202,0.8056951423785594,51,entropy,best
310,0.8056951423785594,78,entropy,best
342,0.8051367950865438,86,entropy,best
354,0.8051367950865438,89,entropy,best
178,0.8051367950865438,45,entropy,best
266,0.8045784477945283,67,entropy,best
174,0.8045784477945283,44,entropy,best
382,0.8040201005025126,96,entropy,best
378,0.8040201005025126,95,entropy,best
262,0.8040201005025126,66,entropy,best
350,0.8040201005025126,88,entropy,best
70,0.803461753210497,18,entropy,best
182,0.803461753210497,46,entropy,best
326,0.803461753210497,82,entropy,best
254,0.803461753210497,64,entropy,best
390,0.803461753210497,98,entropy,best
126,0.8029034059184813,32,entropy,best
186,0.8029034059184813,47,entropy,best
274,0.8029034059184813,69,entropy,best
314,0.8023450586264657,79,entropy,best
74,0.8023450586264657,19,entropy,best
330,0.8023450586264657,83,entropy,best
334,0.8023450586264657,84,entropy,best
166,0.80178671133445,42,entropy,best
154,0.80178671133445,39,entropy,best
214,0.80178671133445,54,entropy,best
346,0.80178671133445,87,entropy,best
62,0.8001116694584032,16,entropy,best
28,0.8001116694584032,8,gini,best
82,0.8001116694584032,21,entropy,best
294,0.7989949748743719,74,entropy,best
306,0.7989949748743719,77,entropy,best
242,0.7989949748743719,61,entropy,best
94,0.7984366275823562,24,entropy,best
90,0.7978782802903406,23,entropy,best
122,0.7973199329983249,31,entropy,best
298,0.7973199329983249,75,entropy,best
76,0.7939698492462312,20,gini,best
66,0.7939698492462312,17,entropy,best
46,0.7922948073701842,12,entropy,best
20,0.7922948073701842,6,gini,best
348,0.7917364600781687,88,gini,best
296,0.7906197654941374,75,gini,best
32,0.7900614182021217,9,gini,best
264,0.7900614182021217,67,gini,best
388,0.7900614182021217,98,gini,best
112,0.7900614182021217,29,gini,best
332,0.7895030709101061,84,gini,best
364,0.7889447236180904,92,gini,best
240,0.7883863763260748,61,gini,best
68,0.7878280290340591,18,gini,best
80,0.7878280290340591,21,gini,best
252,0.7878280290340591,64,gini,best
84,0.7872696817420436,22,gini,best
164,0.7861529871580123,42,gini,best
328,0.7861529871580123,83,gini,best
18,0.7861529871580123,5,entropy,best
172,0.7861529871580123,44,gini,best
128,0.7861529871580123,33,gini,best
116,0.7855946398659966,30,gini,best
284,0.7855946398659966,72,gini,best
196,0.785036292573981,50,gini,best
72,0.785036292573981,19,gini,best
376,0.7844779452819653,95,gini,best
220,0.7844779452819653,56,gini,best
44,0.7844779452819653,12,gini,best
248,0.7844779452819653,63,gini,best
396,0.7833612506979342,100,gini,best
336,0.7828029034059185,85,gini,best
104,0.7828029034059185,27,gini,best
56,0.7822445561139029,15,gini,best
212,0.7816862088218872,54,gini,best
140,0.7816862088218872,36,gini,best
344,0.7811278615298716,87,gini,best
132,0.7811278615298716,34,gini,best
380,0.7811278615298716,96,gini,best
184,0.7811278615298716,47,gini,best
316,0.7805695142378559,80,gini,best
224,0.7805695142378559,57,gini,best
188,0.7800111669458403,48,gini,best
304,0.7800111669458403,77,gini,best
312,0.7800111669458403,79,gini,best
120,0.7794528196538246,31,gini,best
48,0.7794528196538246,13,gini,best
244,0.7794528196538246,62,gini,best
372,0.7788944723618091,94,gini,best
300,0.7788944723618091,76,gini,best
268,0.7788944723618091,68,gini,best
152,0.7783361250697934,39,gini,best
156,0.7783361250697934,40,gini,best
356,0.7783361250697934,90,gini,best
392,0.7783361250697934,99,gini,best
148,0.7783361250697934,38,gini,best
136,0.7783361250697934,35,gini,best
260,0.7783361250697934,66,gini,best
52,0.7777777777777778,14,gini,best
288,0.7777777777777778,73,gini,best
208,0.7772194304857621,53,gini,best
324,0.7772194304857621,82,gini,best
308,0.7772194304857621,78,gini,best
232,0.7772194304857621,59,gini,best
96,0.7772194304857621,25,gini,best
160,0.7772194304857621,41,gini,best
200,0.7772194304857621,51,gini,best
384,0.7766610831937465,97,gini,best
192,0.7766610831937465,49,gini,best
36,0.7766610831937465,10,gini,best
88,0.7761027359017308,23,gini,best
340,0.7761027359017308,86,gini,best
360,0.7761027359017308,91,gini,best
292,0.7755443886097152,74,gini,best
276,0.7755443886097152,70,gini,best
176,0.774427694025684,45,gini,best
204,0.774427694025684,52,gini,best
180,0.774427694025684,46,gini,best
40,0.774427694025684,11,gini,best
60,0.774427694025684,16,gini,best
352,0.7738693467336684,89,gini,best
256,0.7733109994416527,65,gini,best
144,0.7733109994416527,37,gini,best
92,0.7727526521496371,24,gini,best
124,0.7716359575656058,32,gini,best
108,0.7716359575656058,28,gini,best
320,0.7716359575656058,81,gini,best
272,0.7705192629815746,69,gini,best
100,0.7694025683975433,26,gini,best
236,0.7688442211055276,60,gini,best
228,0.768285873813512,58,gini,best
280,0.768285873813512,71,gini,best
64,0.768285873813512,17,gini,best
168,0.7677275265214963,43,gini,best
216,0.7654941373534339,55,gini,best
368,0.7643774427694026,93,gini,best
16,0.7615857063093244,5,gini,best
12,0.689000558347292,4,gini,best
14,0.6778336125069794,4,entropy,best
49,0.5270798436627583,13,gini,random
8,0.5265214963707426,3,gini,best
10,0.5203796761585706,3,entropy,best
375,0.4751535455053043,94,entropy,random
279,0.4639865996649916,70,entropy,random
329,0.4533780011166946,83,gini,random
263,0.4517029592406477,66,entropy,random
193,0.44779452819653826,49,gini,random
31,0.44221105527638194,8,entropy,random
151,0.434394193188163,38,entropy,random
335,0.4321608040201005,84,entropy,random
117,0.4276940256839754,30,gini,random
327,0.42546063651591287,82,entropy,random
175,0.423785594639866,44,entropy,random
129,0.4092685650474595,33,gini,random
59,0.40591848129536573,15,entropy,random
229,0.40424343941931884,58,gini,random
319,0.4036850921273032,80,entropy,random
273,0.40312674483528754,69,gini,random
35,0.4025683975432719,9,entropy,random
79,0.4020100502512563,20,entropy,random
41,0.40033500837520936,11,gini,random
235,0.39865996649916247,59,entropy,random
271,0.3964265773310999,68,entropy,random
305,0.3936348408710218,77,gini,random
247,0.3925181462869905,62,entropy,random
153,0.39195979899497485,39,gini,random
29,0.39195979899497485,8,gini,random
219,0.39140145170295926,55,entropy,random
187,0.3908431044109436,47,entropy,random
349,0.39028475711892796,88,gini,random
101,0.39028475711892796,26,gini,random
89,0.3897264098269123,23,gini,random
179,0.38860971524288107,45,entropy,random
107,0.3880513679508654,27,entropy,random
37,0.38749302065884983,10,gini,random
383,0.38749302065884983,96,entropy,random
369,0.38749302065884983,93,gini,random
115,0.38749302065884983,29,entropy,random
91,0.3852596314907873,23,entropy,random
