,accuracy,max_depth,criteria,splitter
18,0.9426656738644825,5,entropy,best
14,0.9389426656738645,4,entropy,best
22,0.93596425912137,6,entropy,best
16,0.9344750558451228,5,gini,best
254,0.9240506329113924,64,entropy,best
174,0.9233060312732688,44,entropy,best
274,0.9218168279970216,69,entropy,best
334,0.921072226358898,84,entropy,best
298,0.9203276247207743,75,entropy,best
138,0.9203276247207743,35,entropy,best
46,0.9195830230826508,12,entropy,best
358,0.9195830230826508,90,entropy,best
342,0.9188384214445272,86,entropy,best
62,0.9180938198064036,16,entropy,best
26,0.9180938198064036,7,entropy,best
230,0.91734921816828,58,entropy,best
94,0.91734921816828,24,entropy,best
194,0.91734921816828,49,entropy,best
378,0.9158600148920327,95,entropy,best
250,0.9158600148920327,63,entropy,best
238,0.9151154132539091,60,entropy,best
210,0.9143708116157856,53,entropy,best
266,0.9143708116157856,67,entropy,best
258,0.9128816083395384,65,entropy,best
118,0.9128816083395384,30,entropy,best
310,0.9128816083395384,78,entropy,best
246,0.9128816083395384,62,entropy,best
206,0.9121370067014147,52,entropy,best
226,0.9121370067014147,57,entropy,best
278,0.9121370067014147,70,entropy,best
346,0.9121370067014147,87,entropy,best
78,0.9121370067014147,20,entropy,best
370,0.9121370067014147,93,entropy,best
38,0.9121370067014147,10,entropy,best
158,0.9121370067014147,40,entropy,best
130,0.9113924050632911,33,entropy,best
202,0.9113924050632911,51,entropy,best
182,0.9106478034251675,46,entropy,best
30,0.9106478034251675,8,entropy,best
322,0.9106478034251675,81,entropy,best
106,0.909903201787044,27,entropy,best
66,0.909903201787044,17,entropy,best
390,0.909903201787044,98,entropy,best
170,0.909903201787044,43,entropy,best
122,0.909903201787044,31,entropy,best
82,0.909903201787044,21,entropy,best
34,0.9091586001489204,9,entropy,best
86,0.9084139985107967,22,entropy,best
366,0.9076693968726731,92,entropy,best
306,0.9076693968726731,77,entropy,best
374,0.9076693968726731,94,entropy,best
338,0.9076693968726731,85,entropy,best
190,0.9069247952345495,48,entropy,best
326,0.9069247952345495,82,entropy,best
114,0.9069247952345495,29,entropy,best
314,0.9061801935964259,79,entropy,best
20,0.9061801935964259,6,gini,best
270,0.9054355919583023,68,entropy,best
50,0.9054355919583023,13,entropy,best
134,0.9054355919583023,34,entropy,best
302,0.9054355919583023,76,entropy,best
222,0.9054355919583023,56,entropy,best
214,0.9054355919583023,54,entropy,best
242,0.9054355919583023,61,entropy,best
74,0.9054355919583023,19,entropy,best
350,0.9054355919583023,88,entropy,best
286,0.9054355919583023,72,entropy,best
218,0.9046909903201787,55,entropy,best
146,0.9046909903201787,37,entropy,best
98,0.9046909903201787,25,entropy,best
178,0.9046909903201787,45,entropy,best
186,0.9046909903201787,47,entropy,best
90,0.9046909903201787,23,entropy,best
54,0.9046909903201787,14,entropy,best
290,0.9046909903201787,73,entropy,best
70,0.9039463886820551,18,entropy,best
58,0.9039463886820551,15,entropy,best
