,accuracy,max_depth,criteria,splitter
127,0.8450871632329635,32,entropy,random
57,0.8438985736925515,15,gini,random
273,0.8435023771790808,69,gini,random
45,0.8427099841521395,12,gini,random
61,0.840729001584786,16,gini,random
93,0.8391442155309033,24,gini,random
81,0.8387480190174327,21,gini,random
289,0.8367670364500792,73,gini,random
241,0.8359746434231379,61,gini,random
357,0.8355784469096672,90,gini,random
69,0.8351822503961965,18,gini,random
369,0.8343898573692552,93,gini,random
253,0.8339936608557845,64,gini,random
309,0.8328050713153724,78,gini,random
195,0.8316164817749604,49,entropy,random
47,0.8316164817749604,12,entropy,random
245,0.8316164817749604,62,gini,random
387,0.8316164817749604,97,entropy,random
181,0.8312202852614897,46,gini,random
311,0.8300316957210776,78,entropy,random
327,0.8300316957210776,82,entropy,random
107,0.8296354992076069,27,entropy,random
233,0.8292393026941363,59,gini,random
237,0.8292393026941363,60,gini,random
207,0.8288431061806656,52,entropy,random
283,0.8280507131537242,71,entropy,random
137,0.8280507131537242,35,gini,random
295,0.8280507131537242,74,entropy,random
337,0.8272583201267829,85,gini,random
77,0.8264659270998416,20,gini,random
155,0.8260697305863708,39,entropy,random
117,0.8260697305863708,30,gini,random
133,0.8256735340729001,34,gini,random
359,0.8252773375594294,90,entropy,random
371,0.8236925515055468,93,entropy,random
97,0.8236925515055468,25,gini,random
129,0.8232963549920761,33,gini,random
397,0.8229001584786054,100,gini,random
385,0.8229001584786054,97,gini,random
265,0.8225039619651348,67,gini,random
125,0.8225039619651348,32,gini,random
217,0.8217115689381933,55,gini,random
235,0.8217115689381933,59,entropy,random
91,0.8213153724247226,23,entropy,random
333,0.8201267828843106,84,gini,random
287,0.81973058637084,72,entropy,random
277,0.8189381933438986,70,gini,random
355,0.8185419968304279,89,entropy,random
101,0.8185419968304279,26,gini,random
223,0.8185419968304279,56,entropy,random
163,0.8185419968304279,41,entropy,random
41,0.8185419968304279,11,gini,random
351,0.8181458003169572,88,entropy,random
281,0.8173534072900158,71,gini,random
205,0.8173534072900158,52,gini,random
161,0.8161648177496038,41,gini,random
343,0.8161648177496038,86,entropy,random
123,0.8157686212361331,31,entropy,random
149,0.8157686212361331,38,gini,random
293,0.8153724247226625,74,gini,random
301,0.8149762282091918,76,gini,random
111,0.8149762282091918,28,entropy,random
315,0.8145800316957211,79,entropy,random
375,0.8137876386687797,94,entropy,random
37,0.813391442155309,10,gini,random
147,0.813391442155309,37,entropy,random
185,0.8125990491283677,47,gini,random
65,0.812202852614897,17,gini,random
169,0.8118066561014263,43,gini,random
329,0.8118066561014263,83,gini,random
113,0.8114104595879557,29,gini,random
63,0.811014263074485,16,entropy,random
157,0.8102218700475435,40,gini,random
135,0.8098256735340729,34,entropy,random
365,0.8090332805071315,92,gini,random
399,0.8086370839936609,100,entropy,random
225,0.8086370839936609,57,gini,random
271,0.8086370839936609,68,entropy,random
49,0.8082408874801902,13,gini,random
261,0.8082408874801902,66,gini,random
85,0.8078446909667195,22,gini,random
39,0.8074484944532488,10,entropy,random
203,0.8070522979397782,51,entropy,random
285,0.8066561014263075,72,gini,random
43,0.8062599049128367,11,entropy,random
389,0.8062599049128367,98,gini,random
363,0.8062599049128367,91,entropy,random
307,0.8062599049128367,77,entropy,random
321,0.805863708399366,81,gini,random
227,0.805863708399366,57,entropy,random
259,0.8054675118858954,65,entropy,random
53,0.8050713153724247,14,gini,random
173,0.8050713153724247,44,gini,random
171,0.804675118858954,43,entropy,random
349,0.804675118858954,88,gini,random
131,0.804675118858954,33,entropy,random
339,0.8038827258320127,85,entropy,random
187,0.8030903328050714,47,entropy,random
269,0.8026941362916006,68,gini,random
391,0.8026941362916006,98,entropy,random
243,0.8022979397781299,61,entropy,random
109,0.8022979397781299,28,gini,random
145,0.8022979397781299,37,gini,random
59,0.8022979397781299,15,entropy,random
191,0.8019017432646592,48,entropy,random
393,0.8015055467511886,99,gini,random
199,0.8011093502377179,50,entropy,random
87,0.8007131537242472,22,entropy,random
115,0.8007131537242472,29,entropy,random
165,0.8003169572107766,42,gini,random
249,0.8003169572107766,63,gini,random
121,0.8003169572107766,31,gini,random
341,0.8003169572107766,86,gini,random
213,0.8003169572107766,54,gini,random
175,0.7991283676703645,44,entropy,random
267,0.7991283676703645,67,entropy,random
299,0.7987321711568938,75,entropy,random
215,0.7983359746434231,54,entropy,random
73,0.7983359746434231,19,gini,random
313,0.7983359746434231,79,gini,random
67,0.7983359746434231,17,entropy,random
297,0.7979397781299524,75,gini,random
139,0.7975435816164818,35,entropy,random
255,0.7975435816164818,64,entropy,random
325,0.7975435816164818,82,gini,random
383,0.7971473851030111,96,entropy,random
379,0.7971473851030111,95,entropy,random
201,0.7967511885895404,51,gini,random
